tag,sentence,,,,,
O,Contents,,,,,
O,Chairman,,,,,
O,’,,,,,
O,s,,,,,
O,address,,,,,
O,1,,,,,
O,Corporate,,,,,
O,Directory,,,,,
O,Review,,,,,
O,of,,,,,
O,operations,,,,,
O,2,,,,,
O,Directors,,,,,
O,Ian,,,,,
O,J,,,,,
O,Gandel,,,,,
O,Chairman,,,,,
O,Directors,,,,,
O,’,,,,,
O,report,,,,,
O,6,,,,,
O,Stephen,,,,,
O,F,,,,,
O,Johnston,,,,,
O,Managing,,,,,
O,Director,,,,,
O,Auditors,,,,,
O,’,,,,,
O,independence,,,,,
O,declaration,,,,,
O,17,,,,,
O,Anthony,,,,,
O,Lethlean,,,,,
O,Director,,,,,
O,Financial,,,,,
O,report,,,,,
O,Company,,,,,
O,Secretary,,,,,
O,Statement,,,,,
O,of,,,,,
O,profit,,,,,
O,or,,,,,
O,loss,,,,,
O,and,,,,,
O,other,,,,,
O,comprehensive,,,,,
O,income,,,,,
O,20,,,,,
O,Robert,,,,,
O,P,,,,,
O,Tolliday,,,,,
O,Statement,,,,,
O,of,,,,,
O,financial,,,,,
O,position,,,,,
O,21,,,,,
O,Chief,,,,,
O,Financial,,,,,
O,Officer,,,,,
O,&,,,,,
O,Company,,,,,
O,Secretary,,,,,
O,Statement,,,,,
O,of,,,,,
O,changes,,,,,
O,in,,,,,
O,equity,,,,,
O,22,,,,,
O,Notice,,,,,
O,of,,,,,
O,annual,,,,,
O,general,,,,,
O,meeting,,,,,
O,Statement,,,,,
O,of,,,,,
O,cash,,,,,
O,flows,,,,,
O,23,,,,,
O,The,,,,,
O,details,,,,,
O,of,,,,,
O,the,,,,,
O,annual,,,,,
O,general,,,,,
O,meeting,,,,,
O,of,,,,,
O,Alliance,,,,,
O,Resources,,,,,
O,Limited,,,,,
O,are,,,,,
O,:,,,,,
O,Notes,,,,,
O,to,,,,,
O,the,,,,,
O,financial,,,,,
O,statements,,,,,
O,24,,,,,
O,10.00am,,,,,
O,",",,,,,
O,18,,,,,
O,November,,,,,
O,2016,,,,,
O,Directors',,,,,
O,declaration,,,,,
O,45,,,,,
O,HWL,,,,,
O,Ebsworth,,,,,
O,Lawyers,,,,,
O,Independent,,,,,
O,audit,,,,,
O,report,,,,,
O,46,,,,,
O,Level,,,,,
O,26,,,,,
O,",",,,,,
O,530,,,,,
O,Collins,,,,,
O,Street,,,,,
O,Melbourne,,,,,
O,VIC,,,,,
O,3000,,,,,
O,Shareholder,,,,,
O,information,,,,,
O,48,,,,,
O,Registered,,,,,
O,Office,,,,,
O,Suite,,,,,
O,3,,,,,
O,",",,,,,
O,51,,,,,
O,-,,,,,
O,55,,,,,
O,City,,,,,
O,Road,,,,,
O,Southbank,,,,,
O,Victoria,,,,,
O,3006,,,,,
O,Telephone,,,,,
O,+61,,,,,
O,3,,,,,
O,9697,,,,,
O,9090,,,,,
O,Facsimile,,,,,
O,+61,,,,,
O,3,,,,,
O,9697,,,,,
O,9091,,,,,
O,Share,,,,,
O,Registry,,,,,
O,Computershare,,,,,
O,Investor,,,,,
O,Services,,,,,
O,GPO,,,,,
O,Box,,,,,
O,2975,,,,,
O,Melbourne,,,,,
O,",",,,,,
O,VIC,,,,,
O,3001,,,,,
O,Telephone,,,,,
O,1300,,,,,
O,850,,,,,
O,505,,,,,
O,Facsimilie,,,,,
O,+61,,,,,
O,3,,,,,
O,9473,,,,,
O,2500,,,,,
O,Auditor,,,,,
O,BDO,,,,,
O,East,,,,,
O,Coast,,,,,
O,Partnership,,,,,
O,Level,,,,,
O,14,,,,,
O,140,,,,,
O,William,,,,,
O,Street,,,,,
O,Melbourne,,,,,
O,",",,,,,
O,Vic,,,,,
O,3000,,,,,
O,Solicitors,,,,,
O,HWL,,,,,
O,Ebsworth,,,,,
O,Lawyers,,,,,
O,Level,,,,,
O,26,,,,,
O,",",,,,,
O,530,,,,,
O,Collins,,,,,
O,Street,,,,,
O,Melbourne,,,,,
O,",",,,,,
O,Vic,,,,,
O,3000,,,,,
O,Bankers,,,,,
O,Australia,,,,,
O,and,,,,,
O,New,,,,,
O,Zealand,,,,,
O,Banking,,,,,
O,Group,,,,,
O,Limited,,,,,
O,(,,,,,
O,ANZ,,,,,
O,),,,,,
O,ASX,,,,,
O,Code,,,,,
O,Alliance,,,,,
O,Resources,,,,,
O,Limited,,,,,
O,shares,,,,,
O,are,,,,,
O,listed,,,,,
O,on,,,,,
O,the,,,,,
O,Australian,,,,,
O,Securities,,,,,
O,Exchange,,,,,
O,(,,,,,
O,ASX,,,,,
O,code,,,,,
O,:,,,,,
O,AGS,,,,,
O,),,,,,
O,Website,,,,,
O,allianceresources.com.au,,,,,
O,E-mail,,,,,
O,info@allianceresources.com.au,,,,,
O,ALLIANCE,,,,,
O,RESOURCES,,,,,
O,LIMITEDChairman,,,,,
O,’,,,,,
O,s,,,,,
O,address,,,,,
O,On,,,,,
O,behalf,,,,,
O,of,,,,,
O,the,,,,,
O,Board,,,,,
O,and,,,,,
O,management,,,,,
O,",",,,,,
O,we,,,,,
O,are,,,,,
O,pleased,,,,,
