tag,sentence
O,CONTENTS
O,PAGE
O,Chairman
O,’
O,saddress
O,1
O,Review
O,of
O,operations
O,2
O,Tenement
O,schedule
O,10
O,Corporatedirectory
O,11
O,Directors
O,’
O,report
O,12
O,Corporategovernance
O,statement
O,2
O,Auditor
O,’
O,sindependencedeclaration
O,24
O,Financial
O,report
O,–
O,general
O,information
O,25
O,Statement
O,of
O,profit
O,or
O,loss
O,andother
O,comprehensiveincome
O,26
O,Statement
O,of
O,financial
O,position
O,27
O,Statement
O,of
O,changes
O,in
O,equity
O,28
O,Statement
O,of
O,cash
O,flows
O,29
O,Notes
O,tothefinancial
O,statements
O,30
O,Directors'
O,declaration
O,5
O,Independent
O,auditor's
O,report
O,to
O,the
O,members
O,ofAlliance
O,Resources
O,Limited
O,5
O,Shareholder
O,information
O,6CHAIRMAN
O,’
O,S
O,ADDRESS
O,Dear
O,Fellow
O,Shareholders
O,","
O,It
O,gives
O,me
O,great
O,pleasure
O,to
O,provide
O,you
O,with
O,the
O,2021
O,Annual
O,Report
O,for
O,Alliance
O,Resources
O,Limited
O,(
O,Alliance
O,)
O,and
O,update
O,you
O,on
O,our
O,progress
O,over
O,the
O,past
O,year.
O,Throughout
O,the
O,financial
O,year
O,2021
O,(
O,FY21
O,)
O,our
O,efforts
O,have
O,continued
O,to
O,focus
O,primarily
O,on
O,advancing
O,the
O,Weednanna
O,gold
O,and
O,iron
O,Project
O,in
O,South
O,Australia.
O,Significant
O,progress
O,continued
O,during
O,FY21
O,as
O,ongoing
O,exploration
O,efforts
O,identified
O,additional
O,gold
O,mineralisation
O,at
O,the
O,Weednanna
O,deposit
O,","
O,increasing
O,our
O,confidence
O,in
O,the
O,project.
O,Mine
O,design
O,and
O,cost
O,analysis
O,works
O,for
O,the
O,Weednanna
O,project
O,continued
O,with
O,a
O,review
O,of
O,the
O,gold
O,and
O,iron
O,resource
O,models
O,","
O,open
O,pit
O,optimization
O,analysis
O,and
O,preliminary
O,review
O,of
O,underground
O,ore
O,shoot
O,to
O,determine
O,potential
O,mining
O,methods.
O,Preliminary
O,design
O,of
O,a
O,processing
O,plant
O,for
O,Weednanna
O,was
O,completed
O,during
O,the
O,year
O,and
O,is
O,currently
O,being
O,reviewed
O,by
O,an
O,independent
O,third
O,party.
O,During
O,FY21
O,Alliance
O,completed
O,the
O,baseline
O,audits
O,and
O,data
O,collection
O,surveys
O,in
O,preparation
O,for
