tag,sentence
O,ASX
O,Announcement
O,2
O,August
O,2021
O,High-grade
O,gold
O,from
O,first
O,diamond
O,hole
O,at
O,Lord
O,Nelson
O,Sandstone
O,Gold
O,Project
O,Diamond
O,drilling
O,confirms
O,down
O,plunge
O,continuity
O,of
O,high-grade
O,at
O,Lord
O,Nelson
O,and
O,RC
O,drilling
O,at
O,Lord
O,Henry
O,intersects
O,further
O,shallow
O,","
O,high-grade
O,mineralisation.
O,Highlights
O,Lord
O,Nelson
O,•
O,Assay
O,results
O,from
O,first
O,diamond
O,hole
O,at
O,Lord
O,Nelson
O,confirms
O,continuity
O,of
O,high-grade
O,plunge
O,returning
O,:
B-D,36m
B-E,@
B-P,2.0
I-P,g/t
B-M,gold
B-E,from
B-D,203m
O,","
O,incl.
O,o
B-D,3.6m
B-E,@
B-P,10.5
I-P,g/t
B-M,gold
B-E,from
B-D,232.8m
B-H,(
I-H,SDD001
I-H,)
O,o
O,•
O,This
O,high-grade
O,intercept
O,is
O,less
O,than
O,200m
O,vertical
O,depth
O,and
O,continues
O,to
O,demonstrate
O,the
O,high-grade
O,mineralisation
O,outside
O,the
O,current
O,mineral
O,resource
O,that
O,remains
O,open
O,down
O,plunge.
O,Lord
O,Henry
O,•
O,New
O,RC
O,results
O,from
O,step-out
O,drilling
O,","
O,north
O,of
O,the
O,Lord
O,Henry
O,pit
O,","
O,intersect
O,further
O,shallow
O,high-grade
O,gold
O,including
O,:
B-D,52m
B-E,@
B-P,2.1
I-P,g/t
B-M,gold
B-E,from
B-D,40m
O,","
O,incl.
B-D,4m
B-E,@
B-P,13.8
I-P,g/t
B-M,gold
B-E,from
B-D,72m
B-H,(
I-H,SRC380
I-H,)
B-E,o
B-D,16m
B-E,@
B-P,1.8
I-P,g/t
B-M,gold
B-E,from
B-D,12m
B-H,(
I-H,SRC
I-H,374
I-H,)
B-E,o
B-D,4m
B-E,@
B-P,6.2
I-P,g/t
B-M,gold
B-E,from
B-D,64m
B-H,(
I-H,SRC381
I-H,)
O,o
O,•
B-H,SRC380
O,was
O,drilled
O,80m
O,east
O,of
B-H,SRC259
O,which
O,included
O,a
O,high
O,grade
O,zone
O,of
B-D,12m
B-E,@
B-P,5.1
I-P,g/t
B-M,gold
B-E,from
B-D,108m
O,(
O,ASX
O,Announcement
O,2
O,June
O,2021
O,)
O,.
O,Mineralisation
O,at
O,Lord
O,Henry
O,remains
O,open
O,along
O,strike
O,and
O,down
O,dip.
O,Assays
O,•
O,Assays
O,currently
O,pending
O,for
O,a
O,total
O,of
O,12
O,diamond
O,dill
O,holes
O,and
O,88
O,RC
O,holes.
O,RC
O,and
O,diamond
O,drilling
O,ongoing.
O,Figure
O,1
O,:
O,Lord
O,Nelson
O,diamond
O,core
O,from
O,233.5m
O,to
O,236.8m
O,showing
O,high-grade
O,gold
O,mineralisation
O,in
O,strong
O,quartz-
O,pyrite
O,veining
O,(
O,SDD001
O,)
O,.
O,Alto
O,Metals
O,Limited
O,Suite
O,9
O,","
O,12-14
O,Thelma
O,Street
O,admin@altometals.com.au
O,Issued
O,Shares
O,:
O,450m
O,@altometalsltd
O,We
O,st
O,Perth
O,","
O,Western
O,Australia
O,6005
O,www.altometals.com.au
O,Share
O,Price
O,:
O,$0.09
O,Altometalsltd
O,T
O,:
O,+61
O,8
O,9
O,381
O,2808
O,Market
O,Capitalisation
O,:
O,$41m
O,ASX
O,:
O,APMagEe
O,|
O,1
O,Alto
O,’
O,s
O,Managing
O,Director
O,","
O,Matthew
O,Bowles
O,said
O,:
O,These
O,are
O,great
O,results
O,","
O,demonstrating
O,the
O,continuity
O,of
O,high-grade
O,mineralisation
O,outside
O,the
O,current
O,resources
O,at
O,Lord
O,Nelson
O,and
O,Lord
O,Henry
O,remains
O,open
O,down
O,plunge.
O,Our
O,ongoing
O,exploration
O,success
O,continues
O,to
O,highlight
O,that
O,the
O,Sandstone
O,Gold
O,Project
O,is
O,still
O,very
O,much
O,underexplored.
O,Exploration
O,activities
O,at
O,Sandstone
O,are
O,continuing
O,with
O,two
O,RC
O,and
O,one
O,diamond
O,rig
O,on
O,site.
O,Ongoing
O,RC
O,drilling
O,is
O,focusing
O,on
O,growing
O,the
O,current
O,mineral
O,resource
O,","
O,as
O,well
O,as
O,targeting
O,new
O,areas
O,of
O,strike
O,extension
O,to
O,grow
O,the
O,overall
O,resource
O,at
O,the
O,Sandstone
O,Gold
O,Project.
O,We
O,are
O,still
O,experiencing
O,delays
O,in
O,assay
O,turn-around
O,time
O,","
O,as
O,are
O,many
O,of
O,our
O,peers
O,given
O,the
O,level
O,of
O,exploration
O,","
O,however
O,we
O,look
