tag,sentence
O,ASX
O,Announcement
O,8
O,March
O,2022
O,PILBARA
O,PROJECTS
O,EXPLORATION
O,UPDATE
O,AND
O,PLACEMENT
O,•
O,PoW
O,submitted
O,for
O,~1200
O,m
O,follow-up
O,RC
O,drilling
O,at
O,the
O,Roberts
O,Hill
O,gold
O,project
O,•
O,Roberts
O,Hill
O,drilling
O,will
O,test
O,5
O,separate
O,AC
O,gold
O,targets
O,including
O,:
B-H,RHAC147
O,:
B-D,4
I-D,m
B-E,@
B-P,0.42
I-P,g/t
B-M,Au
B-E,from
B-D,80-84
I-D,m
B-H,RHAC176
O,:
B-D,4
I-D,m
B-E,@
B-P,0.10
I-P,g/t
B-M,Au
B-E,from
B-D,4-8
I-D,m
O,•
O,PoW
O,approved
O,for
O,RC
O,resource
O,infill
O,&
O,extensional
O,drilling
O,at
O,E45/5827
O,within
O,the
O,Company
O,’
O,s
O,100%
O,owned
O,Pardoo
O,Ni-Cu-Co
O,deposit
O,•
O,Commitments
O,received
O,for
O,a
O,$1.7mil
O,placement
O,to
O,fund
O,ongoing
O,exploration
O,initiatives
O,Caeneus
O,Minerals
O,Ltd
O,(
O,“
O,CAD
O,”
O,","
O,“
O,Caeneus
O,”
O,or
O,“
O,the
O,Company
O,”
O,)
O,is
O,pleased
O,to
O,provide
O,an
O,exploration
O,update
O,on
O,its
O,highly
O,prospective
O,gold
O,and
O,base
O,metals
O,projects
O,located
O,in
O,the
O,Pilbara
O,region
O,of
O,Western
O,Australia.
O,Roberts
O,Hill
O,Gold
O,Project
O,The
O,Company
O,has
O,now
O,designed
O,and
O,submitted
O,a
O,follow
O,up
O,series
O,of
O,150
O,m
O,deep
O,RC
O,fence
O,line
O,holes
O,to
O,test
O,anomalous
O,gold
O,intersected
O,in
O,the
O,Company
O,’
O,s
O,2021
O,AC
O,maiden
O,drill
O,program
O,(
O,refer
O,ASX
O,:
O,CAD
O,Announcement
O,25
O,January
O,2022
O,–
O,Anomalous
O,Gold
O,Interested
O,at
O,Roberts
O,Hill
O,)
O,.
O,The
O,holes
O,are
O,designed
O,to
O,systematically
O,test
O,the
O,scale
O,and
O,morphology
O,of
O,deeper
O,sheared
O,and
O,mineralised
O,bedrock
O,intersected
O,in
O,previous
O,AC
O,drilling
O,(
O,Figure
O,1
O,)
O,.
O,Figure
O,1
O,Location
O,of
O,Roberts
O,Hill
O,gold
O,targets
O,T1-T5
O,identified
O,in
O,first
O,pass
O,maiden
O,drilling.
O,168
O,Stirling
O,Highway
O,ASX
O,:
O,CAD
O,PO
O,Box
O,369
O,Nedlands
O,WA
O,6009
O,Caeneus
O,Minerals
O,Limited
O,Nedlands
O,WA
O,6909
O,info@caeneus.com.au
O,ABN
O,42
O,082
O,593
O,235
O,+61
O,(
O,08
O,)
O,6102
O,2656
O,Pardoo
O,Ni-Cu-Co
O,Project
O,The
O,Company
O,has
O,received
O,approval
O,from
O,the
O,Department
O,of
O,Mines
O,","
O,Industry
O,Regulation
O,and
O,Safety
O,(
O,DMIRS
O,)
O,for
O,its
O,PoW
O,to
O,further
O,investigate
O,the
O,historical
O,Pardoo
O,Ni-Cu-Co
O,deposit
O,on
O,E45/5827
O,(
O,Figure
O,2
O,)
O,.
O,Figure
O,2
O,Location
O,of
O,the
O,Pardoo
O,Ni-Cu-Co
O,deposit
O,with
O,1VD
O,Aeromagnetics
O,&
O,500K
O,GSWA
O,Geology.
O,Situated
O,close
O,to
O,existing
O,infrastructure
O,only
O,120
O,km
O,from
O,Port
O,Hedland
O,via
O,the
O,NW
O,Coastal
O,Highway.
O,The
O,Phase
O,1
O,Pardoo
O,RC
O,drill
O,program
O,will
O,focus
O,on
O,50
O,m
O,resource
O,infill
O,drilling
O,to
O,upgrade
O,the
O,historical
O,Ni-Cu-Co
O,resource
O,to
O,JORC
O,2012
O,measured
O,and
O,indicated
O,classifications.
O,Whilst
O,the
O,Company
O,plans
O,to
O,drill
O,several
O,new
O,potential
O,resource
O,extensional
O,holes
O,","
O,the
O,initial
O,focus
O,of
O,the
O,PoW
O,is
O,to
O,gain
O,confidence
O,by
O,confirming
O,the
O,historical
O,drilling
O,and
O,gain
O,a
O,strong
O,understanding
O,of
O,the
O,deposit
O,geology
O,and
O,structural
O,controls
O,for
O,the
O,nickel
O,mineralisation.
O,The
O,Company
O,is
O,conscious
O,that
O,its
O,PoW
O,activities
O,coincide
O,with
O,robust
O,nickel
O,prices
O,@
O,USD
O,$28
O,","
O,596/tonne
O,(
O,Kitco
O,Spot
O,Market
O,4/3/22
O,)
O,.
O,The
O,Company
O,has
O,made
O,plans
O,to
O,commence
O,earthworks
O,and
O,drill
