tag,sentence
O,28
O,APRIL
O,2022
O,ASX
O,RELEASE
O,QUARTERLY
O,REPORT
O,FOR
O,THE
O,PERIOD
O,ENDING
O,MARCH
O,31
O,2022
O,HIGHLIGHTS
O,
O,Cosmo
O,Metals
O,admitted
O,to
O,the
O,ASX
O,official
O,list
O,after
O,successful
O,IPO
O,raising
O,$5.1M
O,
O,Thick
O,","
O,shallow
O,and
O,higher-grade
O,zones
O,of
O,copper
O,mineralisation
O,intersected
O,in
O,a
O,six-hole
O,RC
O,drilling
O,program
O,at
O,the
O,Company
O,’
O,s
O,flagship
O,Mt
O,Venn
O,copper-nickel-cobalt
O,project.
O,
O,Significant
O,intersections
O,including
O,:
B-D,46m
B-E,@
B-P,0.80%
B-M,Cu
B-E,from
B-D,141m
B-E,in
B-H,21MVRC001
O,including
O,o
O,‒
B-D,12m
B-E,@
B-P,1.26%
B-M,Cu
B-E,from
B-D,155m
O,and
O,‒
B-D,13m
B-E,@
B-P,1.06%
B-M,Cu
B-E,from
B-D,170m
B-D,23m
B-E,@
B-P,0.74%
B-M,Cu
B-E,from
B-D,158m
B-E,in
B-H,21MVRC002
B-E,o
B-D,67m
B-E,@
B-P,0.50%
B-M,Cu
B-E,from
B-D,47m
B-E,in
B-H,21MVRC003
B-E,o
B-D,15m
B-E,@
B-P,0.29%
B-M,Cu
B-E,from
B-D,154m
B-E,in
B-H,21MVRC004
O,o
O,
O,~3
O,","
O,000m
O,RC
O,drilling
O,program
O,underway
O,","
O,testing
O,advanced
O,targets
O,at
O,Cosmo
O,’
O,s
O,Mt
O,Venn
O,and
O,Eastern
O,Mafic
O,Projects
O,
O,Cosmo
O,has
O,engaged
O,international
O,mining
O,consulting
O,group
O,Entech
O,to
O,complete
O,an
O,initial
O,Exploration
O,Target
O,for
O,Mt
O,Venn
O,","
O,expected
O,in
O,the
O,June
O,Quarter
O,2022
O,
O,Secured
O,the
O,“
O,Mt
O,Venn
O,North
O,”
O,exploration
O,tenement
O,featuring
O,a
O,further
O,9km
O,of
O,the
O,Mt
O,Venn
O,mineralised
O,horizon
O,with
O,untested
O,EM
O,targets
O,and
O,historical
O,base
O,metals
O,drilling
O,for
O,follow-up
O,Shallow
O,","
O,high
