tag,sentence
O,ASX
O,RELEASE
O,13
O,December
O,2021
O,BOARD
O,&
O,POSITIVE
O,RESULTS
O,GROW
O,THE
O,RARE
O,MANAGEMENT
O,EARTH
O,POTENTIAL
O,OF
O,THE
O,EYRE
O,Glenn
O,Davis
O,-
O,Chair
O,PENINSULA
O,KAOLIN
O,PROJECT
O,Michael
O,Schwarz
O,-
O,MD
O,Gary
O,Ferris
O,-
O,NED
O,Jarek
O,Kopias
O,-
O,Co
O,Sec
O,CAPITAL
O,STRUCTURE
O,Ordinary
O,Shares
O,REE
O,bearing
O,high
O,purity
O,kaolin
O,samples
O,from
O,the
O,Ethiopia
O,Prospect
O,–
O,Eyre
O,Issued
O,96.1M
O,Peninsula
O,Project
O,","
O,South
O,Australia
O,Options
O,Be
O,neficiated
O,results
O,summary
O,:
O,Issued
O,3.0M
B-E,•
B-H,ETH-033
B-D,22m
B-E,@
B-P,904
I-P,ppm
B-M,TREO
O,(
O,-45
O,µ
O,m
O,)
O,from
B-D,2m
O,o
O,including
B-D,10m
B-E,@
B-P,1113
I-P,ppm
B-M,TREO
O,(
O,-45
O,µ
O,m
O,)
O,from
B-D,14m
B-E,•
B-H,ETH-037
B-D,18m
B-E,@
B-P,839
I-P,ppm
B-M,TREO
O,(
O,-45
O,µ
O,m
O,)
O,from
B-D,2m
O,CONTACT
B-E,•
B-H,ETH-032
B-D,12m
B-E,@
B-P,508
I-P,ppm
B-M,TREO
O,(
O,-45
O,µ
O,m
O,)
O,from
B-D,2m
O,•
O,Beneficiated
O,results
O,increase
O,thickness
O,and
O,extent
O,of
O,REE
O,Address
O,:
O,mineralisation
O,across
O,the
O,prospect
O,Level
O,3
O,","
O,63
O,Pirie
O,Street
O,ADELAIDE
O,SA
O,5000
O,Unbeneficiated
O,results
O,summary
O,:
O,Email
O,:
O,•
B-H,ETH-029
O,returns
O,thick
O,","
O,high-grade
O,rare
O,earth
O,elements
O,in
O,info@itechminerals.com.au
O,preliminary
O,","
O,unbeneficiated
O,samples
O,o
B-D,32m
B-E,@
B-P,1038
I-P,ppm
B-M,TREO
B-E,from
B-D,0m
O,Website
O,:
O,www.itechminerals.com.au
O,including
O,8m
O,@
B-P,1687
I-P,ppm
B-M,TREO
B-E,from
B-D,8m
O,•
O,Enriched
O,in
O,high
O,value
O,rare
O,earths
O,neodymium
O,and
O,praseodymium
O,Telephone
O,:
O,(
O,~24%
O,)
O,critical
O,for
O,renewable
O,energy
O,technology
O,+61
O,2
O,5850
O,0000
O,•
O,Enriched
O,in
O,heavy
O,REE
O,(
O,~34%
O,)
O,•
O,Clay
O,beneficiation
O,is
O,underway
O,on
O,multiple
O,holes
O,(
O,including
O,ETH-
O,029
O,)
O,.
O,This
O,process
O,has
O,increased
O,rare
O,earth
O,grades
O,by
O,an
O,average
O,of
O,184%
O,in
O,previous
O,samples
O,iTech
O,Minerals
O,Ltd
O,(
O,ASX
O,:
O,ITM
O,","
O,iTech
O,or
O,Company
O,)
O,has
O,received
O,the
O,second
O,batch
O,of
O,analytical
O,results
O,from
O,resampling
O,of
O,historical
O,drilling
O,at
O,the
O,Ethiopia
O,Prospect
O,on
O,the
O,Eyre
O,Peninsula
O,","
O,South
O,Australia.
O,The
O,second
O,batch
O,includes
O,results
O,from
O,both
O,beneficiated
O,samples
O,that
O,concentrate
O,the
O,clay
O,fraction
O,and
O,unbeneficiated
O,samples
O,which
O,are
O,straight
O,from
O,the
O,ground
O,","
O,with
O,no
O,processing.
O,Both
O,sets
O,of
O,results
O,are
O,very
O,positive.
O,The
O,beneficiated
O,samples
O,show
O,an
O,increase
O,in
O,thickness
O,and
O,extent
O,of
O,REE
O,mineralisation
O,across
O,the
O,prospect
O,and
O,the
O,unbeneficiated
O,samples
O,indicate
O,continuing
O,improvements
O,to
O,thickness
O,and
O,grade.
O,In
O,particular
O,","
O,the
O,preliminary
O,results
O,from
O,drill
O,hole
O,ETH-029
O,have
O,Location
O,–
O,Ethiopia
O,confirmed
O,iTech
O,’
O,s
O,expectation
O,of
O,thick
O,","
O,high-grade
O,rare
O,earth
O,elements
O,(
O,REE
O,)
O,at
O,Prospect
O,","
O,Eyre
O,the
O,end
O,of
O,a
O,line
O,of
O,drilling.
O,The
O,rare
O,earths
O,in
O,ETH-029
O,continue
O,to
O,display
O,Peninsula
O,","
O,South
O,enrichment
O,of
O,neodymium
O,and
O,praseodymium
O,(
O,~24%
O,Nd+Pr
O,)
O,","
O,which
O,are
O,critical
O,Australia
O,in
O,the
O,production
O,of
O,permanent
O,magnets
O,for
O,electric
O,vehicles
O,and
O,renewable
O,energy.
O,Significantly
O,","
O,this
O,drill
O,hole
O,also
O,shows
O,a
O,greater
O,enrichment
O,of
O,high
O,value
O,heavy
O,rare
O,earths
O,(
O,~34%
O,)
O,.
O,“
O,What
O,is
O,particularly
O,significant
O,is
O,that
O,these
O,results
O,not
O,only
O,confirm
O,the
O,anticipated
O,higher
O,rare
O,earth
O,grades
O,but
O,the
O,location
O,of
O,these
O,holes
O,also
O,suggests
O,that
O,the
O,potential
O,Ion
O,Adsorption
O,Clay
O,style
O,of
O,mineralisation
O,is
O,open
O,in
O,several
O,directions.
O,iTech
O,is
O,really
O,looking
O,forward
O,to
O,testing
O,these
O,areas
O,in
O,our
O,upcoming
O,drilling
O,program.
O,”
O,Managing
O,Director
O,Mike
O,Schwarz
O,To
O,watch
O,an
O,explanation
O,video
O,please
O,click
O,the
O,link
O,below
O,https
O,:
O,//www.itechminerals.com.au/investorarticles/rareearthpotentialgrowsethiopia
O,www.itechminerals.com.au
O,ASX
O,RELEASE
O,13
O,December
O,2021
O,Figure
O,1.
O,Location
O,of
O,the
O,Ethiopia
O,Prospect
O,–
O,Eyre
O,Peninsula
O,","
O,South
O,Australia
O,A
O,detailed
O,review
O,of
O,historical
O,data
O,","
O,from
O,aircore
O,drilling
O,undertaken
O,by
O,Adelaide
O,Exploration
O,Pty
O,Ltd
O,in
O,2007
O,","
O,identified
O,thick
O,intervals
O,","
O,up
O,to
O,24m
O,","
O,of
O,high
O,purity
O,kaolin
O,clay
O,","
O,over
O,an
O,area
O,of
O,approximately
O,1
O,km
O,x
O,1km
O,(
O,Fig.
O,2
O,)
O,.
O,Of
O,the
O,41
O,aircore
O,holes
O,drilled
O,","
O,a
O,preliminary
O,10
O,holes
O,were
O,sub-sampled
O,to
O,assess
O,the
O,potential
O,for
O,high
O,purity
O,kaolin
O,and
O,ion
O,adsorption
O,clay
O,(
O,IAC
O,)
O,REE
O,mineralisation.
O,The
O,results
O,were
O,successful
O,and
O,show
O,thick
O,intervals
O,of
O,high
O,purity
O,kaolin
O,at
O,or
O,near
O,surface
O,with
O,coincident
O,total
O,rare
