tag,sentence
O,7
O,March
O,2019
O,ASX
O,via
O,Electronic
O,Lodgement
O,Kingwest
O,Resources
O,Ltd
O,y
O,Drilling
O,Programs
O,target
O,resource
O,extensions
O,and
O,high-
O,ASX
O,:
O,KWR
O,grade
O,mineralisation
O,l
O,n
O,Shares
O,on
O,Issue
O,
O,Deeper
O,RC
O,drilling
O,to
O,follow
O,up
O,previous
O,high-grade
O,intersection
O,at
O,King
O,50
O,","
O,810
O,","
O,000
O,o
O,of
O,the
O,West
O,;
B-D,12m
B-E,@
B-P,11.8g/t
B-M,Au
B-E,(
I-E,including
B-D,3m
B-E,@
B-P,43.3g/t
B-E,)
I-E,in
I-E,hole
B-H,KWRC007.
O,Directors
O,&
O,Management
O,
O,Drilling
O,at
O,Crawford
O,targeting
O,mineralisation
O,below
O,the
O,existing
O,Chairman
O,resource
O,","
O,including
O,where
O,an
O,intercept
O,of
B-D,7m
B-E,@
B-P,13.04
I-P,g/t
B-M,Au
B-E,from
B-D,42m
O,and
O,e
O,Peter
O,Bennetto
O,ending
O,in
O,mineralisation
O,","
O,was
O,encountered
O,in
O,the
O,most
O,recent
O,program.
O,s
O,Director
O,/
O,CEO
O,
O,Extensional
O,step
O,out
O,drilling
O,at
O,Crawfords
O,of
O,the
O,recently
O,discovered
O,Stephen
O,Woodham
O,northern
O,and
O,eastern
O,extensional
O,mineralisation
O,","
O,where
O,shallow
O,drilling
O,also
O,u
O,ended
O,in
O,mineralisation.
O,Non-Executive
O,Director
O,Stephen
O,Brockhurst
O,
O,Maiden
O,RC
O,drilling
O,program
O,at
O,Gambier
O,Lass
O,North
O,to
O,follow
O,up
O,l
O,historical
O,RAB
O,drilling
O,gold
O,mineralisation
O,identified
O,over
O,1600
O,metres.
O,Company
O,Secretary
O,a
O,David
O,McEntaggart
O,Kingwest
O,Resources
O,Limited
O,(
O,ASX
O,:
O,KWR
O,)
O,is
O,pleased
O,to
O,announce
O,the
O,imminent
O,n
O,resumption
O,of
O,drilling
O,at
O,its
O,prospective
O,King
O,of
O,the
O,West
O,","
O,Crawford
O,and
O,Gambier
O,Lass
O,North
O,projects.
O,oRegistered
O,Office
O,A
O,programme
O,of
O,34
O,reverse
O,circulation
O,holes
O,will
O,be
O,completed
O,to
O,follow
O,up
O,Level
O,11
O,previous
O,drilling.
O,Drilling
O,at
O,King
O,of
O,the
O,West
O,is
O,targeting
O,extensions
O,to
O,previously
O,s216
O,St
O,Georges
O,Terrace
O,delineated
O,high-grade
