tag,sentence
O,LEFROY
O,EXPLORATION
O,LIMITED
O,ANNUAL
O,REPORT
O,30
O,June
O,2021
O,Incorporated
O,in
O,the
O,British
O,Virgin
O,Islands
O,IBC
O,No
O,29457
O,Australian
O,Registered
O,Body
O,Number
O,052
O,123
O,930Corporate
O,Information
O,Directors
O,Gordon
O,Galt
O,(
O,Non
O,–
O,executive
O,Chairman
O,)
O,Michael
O,Davies
O,(
O,Non
O,-
O,executive
O,Director
O,)
O,Geoffrey
O,Pigott
O,(
O,Non
O,-
O,executive
O,Director
O,)
O,Wade
O,Johnson
O,(
O,Managing
O,Director
O,)
O,Company
O,Secretary
O,Susan
O,Park
O,Registered
O,Offices
O,11
O,Ventnor
O,Avenue
O,Rodus
O,Building
O,WEST
O,PERTH
O,WA
O,6005
O,P.O.
O,Box
O,3093
O,Telephone
O,:
O,+618
O,9321
O,0984
O,Road
O,Town
O,","
O,Tortola
O,","
O,VG1110
O,British
O,Virgin
O,Islands
O,Principal
O,Place
O,of
O,Business
O,Level
O,2
O,","
O,11
O,Ventnor
O,Avenue
O,WEST
O,PERTH
O,WA
O,6005
O,Bankers
O,Australia
O,&
O,New
O,Zealand
O,Banking
O,Corporation
O,West
O,Perth
O,Business
O,Centre
O,Hay
O,Street
O,West
O,Perth
O,WA
O,6005
O,Share
O,Registries
O,Computershare
O,Investor
O,Services
O,Pty
O,Ltd
O,Rodus
O,Building
O,Level
O,11
O,","
O,172
O,St
O,George
O,’
O,s
O,Terrace
O,P.O.
O,Box
O,3093
O,Perth
O,WA
O,6000
O,Road
O,Town
O,","
O,Telephone
O,:
O,+618
O,9323
O,2000
O,Tortola
O,","
O,VG1110
O,British
O,Virgin
O,Islands
O,Auditors
O,Ernst
O,&
O,Young
O,11
O,Mounts
O,Bay
O,Road
O,Perth
O,WA
O,6000
O,Email
O,info@lefroyex.com
O,Internet
O,Address
O,http
O,:
O,//lefroyex.com
O,Stock
O,Exchange
O,Listing
O,Lefroy
O,Exploration
O,Limited
O,shares
O,are
O,listed
O,on
O,the
O,Australian
O,Securities
O,Exchange
O,(
O,ASX
O,code
O,:
O,LEX
O,)
O,Chairman's
O,Letter
O,4
O,Directors
O,’
O,Report
O,5
O,Consolidated
O,Statement
O,of
O,Profit
O,or
O,Loss
O,and
O,other
O,Comprehensive
O,Income
O,24
O,Consolidated
O,Statement
O,of
O,Financial
O,Position
O,25
O,Consolidated
O,Statement
O,of
O,Changes
O,in
O,Equity
O,26
O,Consolidated
O,Statement
O,of
O,Cash
O,Flows
O,27
O,Notes
O,to
O,the
O,Consolidated
O,Financial
O,Statements
O,28
O,Directors
O,’
O,Declaration
O,47
O,Independent
O,Auditor
O,’
O,s
O,Report
O,48
O,ASX
O,Additional
O,Information
O,53
O,CHAIRMAN
O,’
O,S
O,LETTER
O,Dear
O,Shareholders
O,The
O,2021
O,financial
O,year
O,has
O,been
O,an
O,exciting
O,year
O,for
O,your
O,company
O,","
O,with
O,successes
O,achieved
O,at
O,Eastern
O,Lefroy
O,(
O,Au/Cu
O,)
O,","
O,Western
O,Lefroy
O,(
O,Au
O,)
O,and
O,Lake
O,Johnstone
O,(
O,Ni
O,)
O,.
O,In
O,all
O,","
O,over
O,34
O,","
O,000
O,metres
O,of
O,diamond/RC/aircore
O,was
O,drilled
O,and
O,significant
O,auger
O,and
O,geophysical
O,surveys
O,were
O,completed.
O,It
O,is
O,pleasing
O,to
O,report
O,that
O,the
O,safety
O,","
O,environmental
O,and
O,community
O,performance
O,at
O,our
O,projects
O,has
O,again
O,been
O,excellent
O,and
O,congratulate
O,all
O,staff
O,and
O,contractors
O,for
O,their
O,preparation
O,and
O,diligence
O,","
O,especially
O,while
O,carrying
O,out
O,their
O,fieldwork.
O,As
O,100%
O,operator
O,in
O,Eastern
O,Lefroy
O,(
O,266
O,sq
O,km
O,)
O,","
O,we
O,extended
O,our
O,knowledge
O,of
O,gold
O,mineralisation
O,at
O,Lucky
O,Strike
O,","
O,Hang
O,Glider
O,Hill
O,and
O,Havelock
O,and
O,from
O,January
O,2001
O,we
O,conducted
O,several
O,large
O,drill
O,and
O,geophysical
O,programs
O,to
O,define
O,Au/Cu
O,mineralisation
O,trends
O,at
O,the
O,newly
O,acquired
O,Burns
O,project.
O,At
O,the
O,Western
O,Lefroy
O,project
O,(
O,372
O,sq
O,km
O,)
O,","
O,our
O,partner
O,Goldfields
O,completed
O,14
O,","
O,723m
O,of
O,drilling
O,and
O,in
O,June
O,2021
O,decided
O,to
O,exercise
O,its
O,option
O,to
O,purchase
O,50%
O,of
O,Western
O,Lefroy
O,and
O,spend
O,up
O,to
O,another
O,$15m
O,over
O,the
O,next
O,three
O,years
O,seeking
O,major
O,discoveries
O,under/around
O,Lake
O,Lefroy.
O,The
O,commercial
O,arrangements
O,for
O,the
O,extension
O,included
O,return
O,of
O,the
O,high
O,potential
O,Coogee
O,South
O,area
O,to
O,the
O,Eastern
O,Lefroy
O,project
O,and
O,$1.38m
O,cash.
O,At
O,Lake
O,Johnson
O,we
O,have
O,confirmed
O,the
O,presence
O,of
O,nickel
O,mineralisation
O,and
O,started
O,planning
O,for
O,exploration
O,to
O,define
O,mineable
O,nickel
O,resources
O,in
O,the
O,coming
O,year.
O,Undoubtedly
O,the
O,highlight
O,for
O,the
O,year
O,was
O,the
O,high-grade
O,Au/Cu
O,intercept
O,at
O,Burns
O,in
O,March
O,2021.
O,We
O,will
O,do
O,more
O,to
O,properly
O,follow
O,this
O,up
O,in
O,the
O,near
O,future
O,","
O,but
O,are
O,currently
O,constrained
O,by
