tag,sentence
O,ASX
O,Announcement
O,21
O,Apr
O,2022
O,SUCCESSFUL
O,COMPLETION
O,OF
O,PHASE
O,ONE
O,DRILLING
O,AT
O,MT
O,WEARY
O,PROJECT
O,","
O,QUEENSLAND
O,Highlights
O,•
O,11
O,Reverse
O,Circulation
O,(
O,RC
O,)
O,holes
O,completed
O,for
O,a
O,total
O,of
O,1
O,","
O,806m
O,drilled
O,at
O,MPG
O,’
O,s
O,flagship
O,Mt
O,Weary
O,Gold
O,Project
O,in
O,Queensland
O,•
O,Drilling
O,designed
O,to
O,test
O,extensions
O,of
O,mineralisation
O,along
O,prioritised
O,geophysical
O,anomalies
O,•
O,Follow-up
O,work
O,planned
O,includes
O,:
O,o
O,All
O,RC
O,Samples
O,submitted
O,for
O,analyses
O,with
O,assay
O,results
O,anticipated
O,by
O,end
O,of
O,Q2
O,2022
O,o
O,Diamond
O,core
O,drilling
O,program
O,previously
O,proposed
O,for
O,Q4
O,2022
O,","
O,now
O,likely
O,to
O,commence
O,in
O,July
O,2022
O,","
O,subject
O,to
O,rig
O,availability.
O,o
O,Expansion
O,of
O,geophysical
O,surveys
O,to
O,be
O,defined
O,with
O,review
O,of
O,drilling
O,assay
O,results
O,o
O,Extension
O,surface
O,geochemistry
O,sampling
O,campaign
O,in
O,progress
O,Many
O,Peaks
O,Gold
O,Limited
O,(
O,MPG
O,or
O,the
O,Company
O,)
O,is
O,pleased
O,to
O,advise
O,that
O,a
O,1
O,","
O,806m
O,drilling
O,campaign
O,at
O,its
O,flagship
O,Mt
O,Weary
O,Gold
O,Project
O,in
O,Queensland
O,has
O,successfully
O,completed
O,with
O,all
O,samples
O,now
O,delivered
O,for
O,assay
O,analyses.
O,The
O,eleven
O,(
O,11
O,)
O,hole
O,RC
O,programme
O,covered
O,a
O,600m
O,x
O,600m
O,area
O,within
O,a
O,larger
O,3km
O,long
O,geochemistry
O,anomaly.
O,The
O,initial
O,drilling
O,focuses
O,on
O,a
O,segment
O,of
O,the
O,anomalous
O,corridor
O,that
O,is
O,covered
O,with
O,induced
O,polarity
O,ground
O,geophysics
O,(
O,IP
O,)
O,","
O,where
O,historical
O,drilling
O,confirms
O,wide
O,zones
O,of
O,gold
O,mineralisation
O,from
O,surface
O,","
O,corresponding
O,to
O,IP
O,anomalism.
O,MPG
O,Executive
O,Chairman
O,","
O,Travis
O,Schwertfeger
O,commented
O,:
O,“
O,Our
O,team
O,is
O,excited
O,about
O,the
O,geology
O,observed
O,in
O,the
O,initial
O,drilling
O,at
O,the
O,Mt
O,Weary
O,Gold
O,Project
O,","
O,which
O,is
O,aligning
O,with
O,targeting
O,models
O,and
O,providing
O,confidence
O,to
O,accelerate
O,our
O,exploration
O,campaign.
O,The
O,Company
O,is
O,bringing
O,forward
O,plans
O,for
O,diamond
O,drilling
O,work
O,to
O,initiate
O,structural
O,and
O,stratigraphic
O,studies
O,to
O,better
O,define
O,geologic
O,controls
O,on
O,gold
O,mineralisation
O,at
O,the
O,Project
O,","
O,and
O,anxiously
O,look
O,forward
O,to
O,assay
O,results
O,from
O,drilling
O,in
O,the
O,next
O,six
O,to
O,eight
O,weeks.
O,”
O,Drilling
O,The
O,Company
O,has
O,drilled
O,several
O,extensional
O,targets
O,to
O,previously
O,drilled
O,gold
O,mineralisation
O,","
O,focusing
O,on
O,higher
O,tenor
O,chargeability
O,responses
O,in
O,the
O,updated
O,3D
O,geophysical
O,modelling
O,(
O,refer
O,to
O,Company
O,’
O,s
O,Prospectus
O,dated
O,21
O,January
O,2022
O,)
O,.
O,The
O,initial
O,drill
O,program
O,by
O,MPG
O,is
O,designed
O,to
O,confirm
O,conceptual
O,targeting
O,criteria
O,","
O,to
O,assess
O,not
O,only
O,an
O,expanded
O,footprint
O,of
O,gold
O,mineralisation
O,","
O,but
O,also
O,the
O,potential
O,for
O,increasing
O,gold
O,grades
O,associated
O,with
O,higher
O,tenor
O,IP
O,anomalies.
O,Assay
O,results
O,","
O,anticipated
O,over
O,the
O,next
O,six
O,to
O,eight
O,weeks
O,will
O,provide
O,a
O,measure
O,of
O,success
O,for
O,predictive
O,targeting
O,based
O,on
O,geophysical
O,modelling.
O,Successful
O,results
O,will
O,be
O,a
O,catalyst
O,to
O,define
O,expansion
O,of
O,IP
O,geophysical
O,coverage
O,across
O,the
O,larger
O,surface
O,geochemistry
O,gold
O,anomaly
O,at
O,Mt
O,Weary
O,Gold
O,Project.
O,E
O,:
O,info@manypeaks.com.au
O,Shares
O,on
O,Issue
O,ASX
O,:
O,MPG
O,m
O,anypeaks.com.au/
O,A
O,:
O,Level
O,3
O,","
O,1060
O,Hay
