tag,sentence
O,y
O,l
O,n
O,o
O,e
O,s
O,u
O,l
O,a
O,And
O,Controlled
O,Entities
O,n
O,ABN
O,:
O,83
O,127
O,620
O,482
O,o
O,s
O,r
O,e
O,ANNUAL
O,REPORT
O,p
O,For
O,the
O,Year
O,Ended
O,30
O,June
O,2021
O,r
O,o
O,FCONTENTS
O,CORPORATE
O,DIRECTORY
O,1
O,CHAIRMAN
O,’
O,S
O,LETTER
O,2
O,y
O,DIRECTORS
O,’
O,REPORT
O,4
O,l
O,AUDITOR
O,’
O,S
O,INDEPENDENCE
O,DECLARATION
O,30
O,n
O,CONSOLIDATED
O,STATEMENT
O,OF
O,PROFIT
O,OR
O,LOSS
O,AND
O,OTHER
O,o
O,COMPREHENSIVE
O,INCOME
O,31
O,CONSOLIDATED
O,STATEMENT
O,OF
O,FINANCIAL
O,POSITION
O,32
O,e
O,CONSOLIDATED
O,STATEMENT
O,OF
O,CHANGES
O,IN
O,EQUITY
O,33
O,s
O,CONSOLIDATED
O,STATEMENT
O,OF
O,CASH
O,FLOWS
O,34
O,u
O,NOTES
O,TO
O,THE
O,FINANCIAL
O,STATEMENTS
O,35
O,DIRECTORS
O,’
O,DECLARATION
O,61
O,l
O,INDEPENDENT
O,AUDITOR
O,’
O,S
O,REPORT
O,62
O,a
O,ADDITIONAL
O,INFORMATION
O,FOR
O,PUBLIC
O,LISTED
O,COMPANIES
O,67
O,n
O,o
O,s
O,r
O,e
O,p
O,r
O,o
O,F
O,Nelson
O,Resources
O,Limited
O,and
O,Controlled
O,Entities
O,CORPORATE
O,DIRECTORY
O,DIRECTORS
O,Warren
O,Hallam
O,Non-Executive
O,Chairman
O,Adam
O,Schofield
O,Executive
O,Director
O,Stephen
O,Brockhurst
O,Non-Executive
O,Director
O,y
O,SECRETARY
O,l
O,Stephen
O,Brockhurst
O,n
O,REGISTERED
O,AND
O,BUSINESS
O,OFFICE
O,o
O,Level
O,11
O,","
O,London
O,House
O,216
O,St
O,Georges
O,Terrace
O,Perth
O,WA
O,6000
O,Telephone
O,:
O,+61
O,8
O,9481
O,0389
O,e
O,Facsimile
O,:
O,+61
O,8
O,9463
O,6103
O,s
O,WEBSITE
O,&
O,EMAIL
O,www.nelsonresources.com.au
O,u
O,info@nelsonresources.com.au
O,STOCK
O,EXCHANGE
O,LISTINGS
O,Australian
O,Securities
O,Exchange
O,l
O,ASX
O,Code
O,:
O,NES
O,a
O,AUDITORS
O,n
O,Criterion
O,Audit
O,Pty
O,Ltd
O,Suite
O,2
O,o
O,642
O,Newcastle
O,Street
O,Leederville
O,WA
O,6902
O,s
O,BANKER
O,National
O,Australia
O,Bank
O,r
O,1232
O,Hay
O,Street
O,e
O,West
O,Perth
O,WA
O,6005
O,p
O,LEGAL
O,ADVISORS
O,Price
O,Sierakowski
O,Level
O,24
O,","
O,St
O,Martin
O,’
O,s
O,Tower
O,44
O,St
O,Georges
O,Terrace
O,r
O,Perth
O,WA
O,6000
O,o
O,SHARE
O,REGISTRY
O,Automic
O,Registry
O,Services
O,Pty
O,Ltd
O,F
O,Level
O,2
O,267
O,St
O,Georges
O,Terrace
O,Perth
O,WA
O,6000
O,Nelson
O,Resources
O,Limited
O,and
O,Controlled
O,Entities
O,1
O,CHAIRMAN
O,’
O,S
O,LETTER
O,Dear
O,Shareholders
O,It
O,is
O,with
O,pleasure
O,that
O,I
O,present
O,to
O,you
O,the
O,fourth
O,Annual
O,Report
O,of
O,Nelson
O,Resources
O,Limited
O,as
O,a
O,listed
O,public
O,company.
O,y
O,Over
O,the
O,last
O,12
O,months
O,","
O,the
O,Company
O,has
O,achieved
O,several
O,successes
O,:
O,l
O,n
O,The
O,Company
O,has
O,completed
O,a
O,number
O,of
O,geophysical
O,surveys
O,including
O,a
O,high
O,resolution
O,magnetics
O,survey
O,and
O,two
O,large
O,LOUPE
O,EM
O,surveys
O,at
O,the
O,Woodline
O,Project
O,identifying
O,several
O,o
O,significant
O,drill
O,targets.
O,The
O,Company
O,commenced
O,a
O,maiden
O,exploration
O,drilling
O,program
O,at
O,its
O,Grindall
O,project
O,confirming
O,500m
O,of
O,gold
O,bearing
O,strike
O,within
O,the
O,previously
O,defined
O,20km
O,long
O,geochemical
O,and
O,geophysical
O,e
O,anomaly
O,.
O,This
O,was
O,a
O,combination
O,of
O,Diamond
O,and
O,RC
O,Drilling
O,and
O,has
O,confirmed
O,that
O,the
O,20km
O,anomaly
O,is
O,mineralised
O,and
O,has
O,delineated
O,a
O,focused
O,target
O,to
O,expand
O,upon
O,and
O,to
O,extend
O,with
O,s
O,further
O,drilling.
O,In
O,addition
O,this
O,drilling
O,has
O,also
O,verified
O,that
O,the
O,Company
O,’
O,s
O,exploration
O,model
O,at
O,Woodline
O,is
O,working
O,and
O,we
O,can
O,continue
O,to
O,home
O,in
O,on
O,the
O,more
O,highly
O,mineralised
O,zones.
O,u
O,The
O,Company
O,has
O,continued
O,drilling
O,at
O,its
O,Socrates
O,project
O,with
O,the
O,first
O,diamond
O,drilling
O,being
O,completed
O,along
O,with
O,a
O,number
O,of
O,additional
O,RC
O,drill
O,holes.
O,The
O,results
O,have
O,indicated
O,that
O,potential
O,extensions
O,to
O,the
O,North
O,and
O,South
O,are
O,likely.
O,l
O,a
O,The
O,Company
O,has
O,built
O,an
O,inhouse
O,drilling
O,and
O,geophysics
O,capability
O,with
O,a
O,view
O,to
O,creating
O,flexibility
O,and
O,to
O,maximise
O,its
O,ability
O,to
O,explore
O,its
O,large
O,tenement
O,portfolio.
O,n
O,The
O,Company
O,has
O,delineated
O,exploration
O,programs
O,for
O,the
O,next
O,6
O,-12
O,months
O,which
O,it
O,believes
O,o
O,will
O,produce
O,significant
O,exploration
O,success.
O,Since
O,listing
O,on
O,the
O,ASX
O,in
O,December
O,of
O,2017
O,with
O,20
O,km
O,²
O,of
