tag,sentence
O,Oakajee
O,Corporation
O,Limited
O,ACN
O,123
O,084
O,453
O,Registered
O,Office
O,39
O,Clifton
O,Street
O,NEDLANDS
O,WA
O,6009
O,Telephone
O,:
O,+61
O,8
O,9389
O,6032
O,Facsimile
O,:
O,+61
O,8
O,9389
O,8226
O,30
O,March
O,2020
O,Company
O,Announcements
O,Office
O,ASX
O,Limited
O,STRONG
O,GOLD
O,MINERALISED
O,ZONES
O,DEFINED
O,AT
O,PAYNES
O,FIND
O,GOLD
O,PROJECT
O,Oakajee
O,Corporation
O,Ltd
O,(
O,“
O,Oakajee
O,”
O,or
O,“
O,the
O,Company
O,”
O,)
O,is
O,pleased
O,to
O,advise
O,that
O,assays
O,have
O,been
O,received
O,from
O,the
O,recently
O,completed
O,Aircore
O,(
O,AC
O,)
O,drilling
O,program
O,at
O,the
O,Paynes
O,Find
O,Gold
O,Project
O,in
O,Western
O,Australia.
O,Figure
O,1
O,:
O,Paynes
O,Find
O,Gold
O,Project
O,location
O,plan.
O,A
O,total
O,of
O,54
O,holes
O,were
O,drilled
O,on
O,5
O,variably
O,spaced
O,lines
O,for
O,2
O,","
O,064
O,metres
O,","
O,within
O,and
O,around
O,the
O,Matriarch
O,gold
O,prospect.
O,Strongly
O,anomalous
O,gold
O,(
O,greater
O,than
O,100ppb
O,Au
O,)
O,was
O,intersected
O,in
O,11
O,of
O,the
O,holes
O,(
O,see
O,Table
O,1
O,)
O,associated
O,with
O,a
O,north-north-east
O,striking
O,","
O,1
O,","
O,600m
O,long
O,aeromagnetic
O,low
O,","
O,under
O,shallow
O,laterite
O,cover
O,immediately
O,south
O,of
O,the
O,historical
O,Paynes
O,Find
O,Gold
O,Camp.
O,Drilling
O,Results
O,The
O,recently
O,completed
O,AC
O,drilling
O,was
O,designed
O,to
O,target
O,various
O,north
O,to
O,north-north-east
O,magnetic
O,and
O,geochemical
O,trends
O,associated
O,with
O,historic
O,gold
O,occurrences
O,within
O,Oakajee
O,’
O,s
O,Matriarch
O,tenements.
O,Drill
O,lines
O,were
O,variably
O,spaced
O,and
O,hole
O,spacing
O,along
O,the
O,individual
O,lines
O,was
O,designed
O,to
O,test
O,for
O,a
O,broad
O,supergene
O,gold
O,halo
O,within
O,the
O,weathered
O,bedrock.
O,The
O,AC
O,drill
O,holes
O,were
O,mostly
B-D,50m
O,apart
O,","
O,with
O,some
O,at
O,25m
O,spacing
O,and
O,orientated
O,at
O,minus
O,60
O,degrees
O,to
O,the
O,east.
O,Drilling
O,was
O,completed
O,to
O,blade
O,refusal
O,and
O,hole
O,depth
O,was
O,mostly
O,between
O,20m
O,and
O,50m.
O,Samples
O,were
O,collected
O,every
B-D,4m
O,(
O,downhole
O,width
O,)
O,.
O,Anomalous
O,gold
O,results
O,of
O,>100ppb
O,are
O,recorded
O,in
O,Table
O,1
O,and
O,drill
O,hole
O,collar
O,positions
O,coloured
O,by
O,maximum
O,values
O,are
O,shown
O,in
O,Figures
O,2
O,and
O,3.
O,Figure
O,2
O,:
O,Paynes
O,Find
O,Gold
O,Project
O,plan
O,showing
O,recent
O,AC
O,dril
O,ling
O,location
O,and
O,results
O,over
O,aeromagnetic
O,image.
O,Figure
O,3
O,:
O,Paynes
O,Find
O,Gold
O,Project
O,plan
O,showing
O,recent
O,AC
O,drilling
O,location
O,and
O,results
O,over
O,satellite
O,image.
O,The
O,northern
O,most
O,line
O,of
O,drill
O,holes
O,was
O,completed
O,along
O,the
O,north
O,eastern
O,boundary
O,of
O,59/2075
O,100m
O,south
O,of
O,the
O,historic
O,Shamrock
O,Gold
O,Pit
O,(
O,outside
O,Oakajee
O,tenements
O,)
O,.
O,Gold
O,mineralisation
O,of
B-D,4m
B-E,from
B-D,16m
B-E,@
B-P,127ppb
B-M,Au
B-E,in
B-H,PFAC012
B-E,and
B-D,8m
B-E,from
B-D,28m
B-E,@
B-P,164ppb
B-M,Au
B-E,in
B-H,PFAC013
O,was
O,intersected
O,at
O,a
O,felsic-mafic
O,contact
O,on
O,the
O,west
O,end
O,of
O,the
O,drill
O,line.
O,One
O,hole
O,drilled
B-D,200m
O,to
O,the
O,south
O,targeting
O,an
O,historic
O,gold
O,pit
O,","
B-H,PFAC051
O,intersected
B-P,108ppb
B-E,over
B-D,4m
O,in
O,strongly
O,weathered
O,felsic
O,schist.
O,A
O,further
O,500m
O,south-south-west
O,gold
O,mineralisation
O,occurs
O,in
B-H,PFAC047
B-E,which
I-E,intersected
B-D,4m
B-E,from
B-D,36m
B-E,@
B-P,811ppb
B-M,Au
B-E,and
B-H,PFAC048
B-E,which
I-E,intersected
B-D,4m
B-E,from
B-D,48m
B-E,@
B-P,247ppb
B-M,Au
O,associated
O,with
O,strongly
O,weathered
O,felsic
O,rocks.
O,The
O,two
O,southern
O,most
O,lines
O,drilled
O,at
O,the
O,northern
O,end
O,of
O,E59/2092
O,also
O,intersected
O,gold
O,mineralisation.
O,In
O,drill
O,hole
B-H,PFAC042
B-E,","
B-D,2m
B-E,from
B-D,40m
B-E,@
B-P,212ppb
B-M,Au
B-E,and
B-H,PFAC037
B-E,","
B-D,8m
B-E,from
B-D,28m
B-E,@
B-P,211ppb
B-M,Au
B-E,plus
B-D,2m
B-E,from
B-D,40m
B-E,@
B-P,255ppb
B-M,Au
O,(
O,end
O,of
O,the
O,hole
O,)
O,","
O,mineralisation
O,is
O,associated
O,with
O,logged
O,felsic
O,rocks
O,and
O,interpreted
O,as
O,likely
O,intrusive.
O,The
O,gold
O,mineralisation
O,intersected
O,in
O,the
O,AC
O,drill
O,holes
O,is
O,interpreted
O,to
O,have
O,been
O,dispersed
O,from
O,the
O,primary
O,bedrock
O,source
O,as
O,the
O,result
O,of
O,weathering.
O,The
O,presence
O,of
O,various
O,pathfinder
O,minerals
O,such
O,as
B-M,Ag
O,","
B-M,As
O,","
B-M,Cu
O,","
B-M,Pb
O,","
B-M,Sb
O,and
O,W
O,suggests
O,the
O,current
O,drilling
O,is
O,proximal
O,to
O,the
O,primary
O,bedrock
O,source
O,therefore
O,addition
O,infill
O,drilling
O,will
O,be
O,required
O,to
O,better
O,define
O,the
O,potential.
O,Table
O,1
O,:
O,Oakajee
O,AC
O,drill
O,hole
O,assay
O,data.
O,Interval
O,Width
B-M,Au
B-M,Ag
B-M,As
B-M,Bi
B-M,Co
B-M,Cu
B-M,Mo
B-M,Pb
B-M,Sb
B-M,W
B-M,Zn
O,Hole_ID
O,From-to
O,m
O,ppb
O,ppm
O,ppm
O,ppm
O,ppm
O,ppm
O,ppm
O,ppm
O,ppm
O,ppm
O,ppm
B-H,PFACC0012
O,16-20m
O,4
O,127
O,0.05
O,146
O,0.02
O,6
O,161
O,3
O,50
O,0.1
O,-0.1
O,19
B-H,PFACC0013
O,28-36m
O,8
O,164
O,0.15
O,48
O,0.39
O,6.5
O,116
O,1.7
O,48
O,0.1
O,-0.1
O,35
O,40-
B-H,PFACC0033
O,2
O,42EOH
O,126
O,2.7
O,68.8
O,0.32
O,23
O,1310
O,0.6
O,10
O,0.16
O,1.9
O,17
B-H,PFACC0036
O,28-36m
O,8
O,128
O,1.35
O,34.4
O,0.16
O,11.5
O,655
O,0.3
O,5
O,0.08
O,0.95
O,8.5
B-H,PFACC0037
O,20-28m
O,8
O,211
O,0.375
