tag,sentence
O,OKLO
O,RESOURCES
O,LIMITED
O,ACN
O,121
O,582
O,607
O,ANNUAL
O,REPORT
O,FOR
O,THE
O,YEAR
O,ENDED
O,30
O,JUNE
O,2016
O,CORPORATE
O,INFORMATION
O,DIRECTORS
O,Mr
O,Michael
O,Fotios
O,–
O,Non-Executive
O,Chairman
O,(
O,Appointed
O,29
O,July
O,2016
O,)
O,Mr
O,Simon
O,Taylor
O,-
O,Managing
O,Director
O,Mr
O,Jeremy
O,Bond
O,-
O,Non-Executive
O,Director
O,Dr
O,Madani
O,Diallo
O,–
O,Non-Executive
O,Director
O,(
O,Appointed
O,29
O,July
O,2016
O,)
O,COMPANY
O,SECRETARY
O,Ms
O,Louisa
O,Martino
O,BANKER
O,National
O,Australia
O,Bank
O,Ltd
O,South
O,Sydney
O,Partnership
O,Suite
O,1
O,","
O,Level
O,6
O,","
O,5-13
O,Rosebery
O,Avenue
O,Rosebery
O,","
O,NSW
O,","
O,2018
O,AUDITORS
O,BDO
O,Audit
O,(
O,WA
O,)
O,Pty
O,Ltd
O,38
O,Station
O,Street
O,Subiaco
O,","
O,WA
O,","
O,6008
O,SOLICITORS
O,Steinepreis
O,Paganin
O,16
O,Milligan
O,Street
O,Perth
O,","
O,WA
O,","
O,6000
O,REGISTERED
O,OFFICE
O,Level
O,5
O,","
O,56
O,Pitt
O,Street
O,Sydney
O,","
O,NSW
O,","
O,2000
O,Telephone
O,:
O,+61
O,2
O,8823
O,3100
O,Facsimile
O,:
O,+61
O,8
O,9252
O,8466
O,Website
O,:
O,www.okloresources.com
O,STOCK
O,EXCHANGE
O,The
O,Company
O,’
O,s
O,securities
O,are
O,quoted
O,on
O,the
O,official
O,list
O,of
O,the
O,Australian
O,Securities
O,Exchange
O,Limited
O,(
O,ASX
O,code
O,:
O,OKU
O,)
O,SHARE
O,REGISTRY
O,Computershare
O,Investor
O,Services
O,Pty
O,Ltd
O,Level
O,11
O,","
O,172
O,St
O,Georges
O,Terrace
O,Perth
O,","
O,WA
O,","
O,6000
O,Oklo
O,Resources
O,Limited
O,and
O,its
O,Controlled
O,Entities
O,Page
O,2
O,2016
O,Annual
O,Report
O,CONTENTS
O,PAGE
O,Chairman
O,’
O,s
O,Letter
O,4
O,Operations
O,Review
O,5
O,Directors
O,’
O,Report
O,20
O,Auditor
O,’
O,s
O,Independence
O,Declaration
O,34
O,Consolidated
O,Statement
O,of
O,Profit
O,or
O,Loss
O,and
O,Other
O,Comprehensive
O,Income
O,35
O,Consolidated
O,Statement
O,of
O,Financial
O,Position
O,37
O,Consolidated
O,Statement
O,of
O,Changes
O,in
O,Equity
O,38
O,Consolidated
O,Statement
O,of
O,Cash
O,Flows
O,40
O,Notes
O,to
O,the
O,Financial
O,Statements
O,41
O,Directors
O,’
O,Declaration
O,78
O,Independent
O,Audit
O,Report
O,79
O,ASX
O,Additional
O,Information
O,81
O,Oklo
O,Resources
O,Limited
O,and
O,its
O,Controlled
O,Entities
O,Page
O,3
O,2016
O,Annual
O,Report
O,CHAIRMAN
O,’
O,S
O,LETTER
O,Dear
O,Shareholder
O,","
O,It
O,gives
O,me
O,great
O,pleasure
O,to
O,present
O,Oklo
O,Resources
O,Limited
O,’
O,s
O,(
O,“
O,Oklo
O,”
O,or
O,the
O,“
O,Company
O,”
O,)
O,Annual
O,Report
O,for
O,the
O,year
O,ended
O,30
O,June
O,2016
O,","
O,my
O,first
O,as
O,Oklo
O,’
O,s
O,Chairman
O,after
O,accepting
O,the
O,role
O,in
O,July
O,of
O,this
O,year.
O,The
O,past
O,year
O,has
O,seen
O,Oklo
O,achieve
O,a
O,number
O,of
O,important
O,steps
O,in
O,its
O,quest
O,to
O,build
O,a
O,significant
O,gold
O,company
O,in
O,Mali
O,","
O,managed
O,by
O,a
O,highly
O,experienced
O,team
O,with
O,a
