tag,sentence
O,A
O,modern
O,mining
O,company
O,27
O,February
O,2019
O,The
O,Manager
O,","
O,Companies
O,Australian
O,Securities
O,Exchange
O,Companies
O,Announcement
O,Centre
O,20
O,Bridge
O,Street
O,Sydney
O,NSW
O,2000
O,Dear
O,Sir/Madam
O,","
O,OZ
O,Minerals
O,2018
O,Annual
O,and
O,Sustainability
O,Report
O,OZ
O,Minerals
O,today
O,announced
O,its
O,results
O,for
O,the
O,full
O,year
O,ended
O,31
O,December
O,2018.
O,Attached
O,is
O,the
O,Appendix
O,4E
O,and
O,2018
O,Annual
O,and
O,Sustainability
O,Report
O,including
O,:
O,•
O,Directors
O,’
O,Report
O,•
O,Remuneration
O,Overview
O,and
O,Report
O,•
O,FY18
O,Financial
O,Report
O,•
O,Sustainability
O,Report
O,Sincerely
O,","
O,Michelle
O,Pole
O,Company
O,Secretary
O,and
O,Senior
O,Legal
O,Counsel
O,OZ
O,Minerals
O,Limited
O,|
O,ABN
O,:
O,40
O,005
O,482
O,824
O,|
O,2
O,Hamra
O,Drive
O,","
O,Adelaide
O,Airport
O,South
O,Australia
O,5950
O,T
O,:
O,+61
O,8
O,8229
O,6600
O,|
O,F
O,:
O,+61
O,8
O,8229
O,6601
O,|
O,info@ozminerals.com
O,|
O,www.ozminerals.com
O,A
O,modern
O,mining
O,company
O,RESULTS
O,FOR
O,ANNOUNCEMENT
O,TO
O,THE
O,MARKET
O,We
O,have
O,provided
O,the
O,announcement
O,to
O,the
O,market
O,results
O,in
O,accordance
O,with
O,Australian
O,Securities
O,Exchange
O,(
O,ASX
O,)
O,Listing
O,Rule
O,4.2A
O,and
O,Appendix
O,4E
O,for
O,the
O,Consolidated
O,Entity
O,(
O,OZ
O,Minerals
O,)
O,comprising
O,OZ
O,Minerals
O,Limited
O,(
O,OZ
O,Minerals
O,Limited
O,or
O,the
O,‘
O,Company
O,’
O,)
O,and
O,its
O,controlled
O,entities
O,for
O,the
O,year
O,ending
O,31
O,December
O,2018
O,(
O,financial
O,year
O,)
O,compared
O,to
O,the
O,year
O,ending
O,31
O,December
O,2017
O,(
O,comparative
O,year
O,)
O,.
O,Consolidated
O,results
O,","
O,commentary
O,on
O,results
O,and
O,outlook
O,31
O,December
O,2018
O,31
O,December
O,2017
