tag,sentence
O,ASX
O,RELEASE
O,Australian
O,Securities
O,Exchange
O,Limited
O,Via
O,e-lodgement
O,ASX
O,Code
O,:
O,OZZ
O,Wednesday
O,","
O,06
O,October
O,","
O,2021
O,EXCELLENT
O,RESULTS
O,FROM
O,MAIDEN
O,DRILL
O,PROGRAM
O,AT
O,MAGUIRES
O,Outstanding
O,intervals
O,of
O,up
O,to
B-P,9.10g/t
O,returned
O,near
O,surface
O,from
O,maiden
O,RC
O,drill
O,program.
O,
O,Assay
O,results
O,received
O,from
O,recently
O,completed
O,maiden
O,4
O,","
B-D,300m
O,Reverse
O,Circulation
O,drilling
O,program
O,at
O,the
O,Maguires
O,Gold
O,Project
O,","
O,north
O,of
O,Cue
O,in
O,WA
O,
O,The
O,45-hole
O,program
O,targeted
O,the
O,Old
O,Prospect
O,","
O,with
O,results
O,outlining
O,two
O,zones
O,of
O,mineralisation
O,(
O,Old
O,Prospect
O,North
O,and
O,South
O,)
O,which
O,remain
O,open
O,along
O,strike
O,and
O,at
O,depth
O,
O,Best
O,intercepts
O,:
B-E,o
B-D,14m
B-E,@
B-P,2.66/t
B-M,Au
B-E,from
B-D,45m
B-H,(
I-H,21MRRC003
I-H,)
B-E,o
B-D,6m
B-E,@
B-P,3.23g/t
B-M,Au
B-E,from
B-D,31m
B-E,and
B-D,7m
B-E,@
B-P,9.10
I-P,g/t
B-M,Au
B-E,from
B-D,81m
B-H,(
I-H,21MRRC011
I-H,)
B-E,o
B-D,7m
B-E,@
B-P,4.50g/t
B-M,Au
B-E,from
B-D,46m
B-H,(
I-H,21MRRC032
I-H,)
B-E,o
B-D,4m
B-E,@
B-P,4.48g/t
B-M,Au
B-E,from
B-D,16m
B-H,(
I-H,21MRRC016
I-H,)
O,o
B-D,10m
B-P,@2.48g/t
B-M,Au
B-E,from
B-D,100m
B-H,(
I-H,21MRRC039
I-H,)
O,
O,The
O,high-grade
O,tenor
O,of
O,the
O,results
O,confirms
O,the
O,significant
O,potential
O,of
O,the
O,project
O,and
O,the
O,need
O,to
O,undertake
O,further
O,drilling
O,
O,Spatially
O,","
O,the
O,mineralisation
O,intersected
O,ties
O,in
O,well
O,with
O,historic
O,drilling
O,","
O,which
O,included
O,:
O,o
B-D,6m
B-E,@
B-P,18.6g/t
B-M,Au
O,","
B-D,7m
B-E,@
B-P,8.7g/t
B-M,Au
B-E,and
B-D,6m
B-E,@
B-P,11.6g/t
B-M,Au
O,
O,Planning
O,is
O,underway
O,for
O,Stage
O,2
O,drilling
O,","
O,to
O,commence
O,once
O,approvals
O,are
O,obtained
O,to
O,provide
O,sufficient
O,additional
O,data
O,to
O,calculate
O,a
O,maiden
O,JORC
O,Mineral
O,Resource
O,
O,This
O,next
O,phase
O,of
O,drilling
O,will
O,also
O,test
O,the
O,previously-identified
O,but
O,inadequately
O,drill
O,tested
O,Maguires
O,Reward
O,Prospect
O,","
O,1km
O,to
O,the
O,west
O,OZZ
O,Resources
O,Managing
O,Director
O,","
O,Jonathan
O,Lea
O,","
O,said
O,:
O,“
O,We
O,are
O,delighted
O,with
O,the
O,success
O,of
O,our
O,first
O,drilling
O,campaign
O,","
O,which
O,marks
O,a
O,very
O,bright
O,start
O,to
O,our
O,journey
O,as
O,a
O,listed
O,gold
O,explorer.
O,The
O,drilling
O,was
O,focused
O,in
O,and
O,around
O,the
O,Old
O,Prospect
O,","
O,which
O,was
O,last
O,drilled
O,by
O,BHP
O,and
O,others
O,in
O,the
O,1980s
O,and
O,1990s.
O,“
O,The
O,results
O,have
O,met
O,or
O,exceeded
O,our
O,expectations
O,","
O,returning
O,some
O,broad
O,zones
O,of
O,strong
O,","
O,high-grade
O,gold
O,mineralisation
O,including
O,several
O,standout
O,intercepts
O,such
O,as
O,7m
O,at
O,9.10g/t
O,and
O,7m
O,at
O,4.50g/t.
O,Importantly
O,","
O,the
O,mineralized
O,intervals
O,show
O,correlation
O,with
O,the
O,historic
O,drilling
O,","
O,giving
O,additional
O,confidence
O,that
O,OZZ
O,can
O,advance
O,rapidly
O,towards
O,resource
O,definition
O,following
O,further
O,drilling.
O,The
O,high-grade
O,shoots
O,represent
O,a
O,very
O,attractive
O,target
O,for
O,future
O,drilling.
O,“
O,In
O,light
O,of
O,the
O,success
O,of
O,this
O,campaign
O,","
O,we
O,are
O,actively
O,planning
O,follow-up
O,drilling
O,to
O,expand
O,and
O,increase
O,the
O,defined
O,extent
O,of
O,the
O,mineralisation
O,at
O,Maguires.
O,This
O,next
O,phase
O,of
O,work
O,will
O,also
O,involve
O,testing
O,a
O,parallel
O,structure
O,to
O,the
O,west
O,which
O,has
O,had
O,virtually
O,no
O,RC
O,drilling.
O,The
O,data
O,from
O,that
O,additional
O,drilling
O,should
O,allow
O,the
O,calculation
O,a
O,maiden
O,JORC
O,Mineral
O,Resource
O,for
O,Maguires
O,","
O,which
O,could
O,well
O,become
O,a
O,strategic
O,asset
O,for
O,the
O,Company
O,given
O,its
O,location
O,in
O,the
O,heart
O,of
O,a
O,prolific
O,mining
O,district.
O,”
O,Ozz
O,Resources
O,I
O,ACN
O,643
O,844
O,544
O,I
O,9/186
O,Hay
O,Street
O,","
O,Subiaco
O,","
O,WA
O,6008
O,I
O,www.ozzresources.com.au
O,Maguires
O,Project
O,The
O,Maguires
O,Project
O,is
O,located
O,on
O,Prospecting
O,License
O,P20/2318
O,","
O,50km
O,north
O,of
O,Cue
O,in
O,the
O,Murchison
O,District
O,of
O,WA
O,(
O,see
O,Figure
O,1
O,)
O,.
O,Three
O,main
O,prospect
O,areas
O,have
O,been
O,identified
O,on
O,the
O,license
O,–
O,Maguires
O,Reward
O,to
O,the
O,west
O,and
O,the
O,Old
O,Prospect
O,North
O,and
O,South
O,on
O,the
O,eastern
O,side
O,of
O,the
O,Prospecting
O,License
O,(
O,see
O,Figure
O,2
O,)
O,.
O,The
O,shear-hosted
O,mineralisation
O,was
O,originally
O,drill
O,tested
O,by
O,BHP
O,in
O,the
O,1980
O,’
O,s
O,and
O,Posgold
O,in
O,the
O,1990
O,’
O,s
O,and
O,limited
O,work
O,has
O,been
O,completed
O,since
O,then.
O,The
O,low
O,gold
O,price
O,at
O,the
O,time
O,led
O,early
O,explorers
O,to
O,withdraw
O,after
O,drill
O,testing
O,at
O,Old
O,Prospect.
O,The
O,drilling
O,at
O,Old
O,Prospect
O,returned
O,results
O,such
O,as
B-D,6m
B-E,@
B-P,18.6g/t
O,","
B-D,7m
B-E,@
B-P,8.7g/t
B-E,and
B-D,6m
B-E,@
B-P,11.6
I-P,g/t.
O,Three
O,RC
O,holes
O,drilled
O,at
O,Maguires
O,Reward
O,returned
O,a
O,best
O,result
O,of
O,4m
B-P,@19.2g/t.
