tag,sentence
O,PROSPECH
O,LIMITED
O,and
O,its
O,controlled
O,entities
O,A.B.N.
O,24
O,602
O,043
O,265
O,FINANCIAL
O,REPORT
O,FOR
O,THE
O,YEAR
O,ENDED
O,31
O,DECEMBER
O,2021
O,PROSPECH
O,LIMITED
O,and
O,its
O,controlled
O,entities
O,CONTENTS
O,Page
O,Chairman
O,’
O,s
O,Letter
O,1
O,Review
O,of
O,Operations
O,2
O,Corporate
O,Governance
O,Statement
O,12
O,Directors'
O,Report
O,12
O,Lead
O,Auditor's
O,Independence
O,Declaration
O,22
O,Consolidated
O,Statement
O,of
O,Profit
O,or
O,Loss
O,and
O,Other
O,Comprehensive
O,Income
O,23
O,Consolidated
O,Statement
O,of
O,Financial
O,Position
O,24
O,Consolidated
O,Statement
O,of
O,Changes
O,in
O,Equity
O,25
O,Consolidated
O,Statement
O,of
O,Cash
O,Flows
O,26
O,Notes
O,to
O,the
O,Financial
O,Statements
O,27
O,Directors'
O,Declaration
O,52
O,Independent
O,Auditor's
O,Report
O,53
O,Additional
O,ASX
O,Information
O,58
O,Corporate
O,Directory
O,60
O,PROSPECH
O,LIMITED
O,and
O,its
O,controlled
O,entities
O,REVIEW
O,OF
O,OPERATIONS
O,Dear
O,Fellow
O,Shareholders
O,","
O,During
O,the
O,past
O,year
O,your
O,Directors
O,have
O,been
O,busy
O,understanding
O,the
O,many
O,drill
O,targets
O,in
O,the
O,Company
O,’
O,s
O,portfolio.
O,To
O,this
O,endeavour
O,we
O,instigated
O,an
O,IP
O,survey
O,over
O,a
O,portion
O,of
O,the
O,Hodrusa-Hamre
O,exploration
O,licence
O,–
O,the
O,first
O,modern
O,","
O,large
O,scale
O,geophysical
O,survey
O,ever
O,carried
O,out
O,over
O,the
O,Stiavnica
O,caldera
O,","
O,the
O,biggest
O,mineralised
O,centre
O,of
O,central
O,Slovakia
O,and
O,","
O,with
O,the
O,exception
O,of
O,an
O,operating
O,mine
O,within
O,our
O,tenement
O,","
O,entirely
O,held
O,by
O,Prospech.
O,The
O,IP
O,survey
O,resulted
O,in
O,the
O,delineation
O,of
O,several
O,anomalies
O,supportive
O,of
O,the
O,detachment
O,fault
O,(
O,LANF
O,)
O,concept
O,","
O,providing
O,a
O,fresh
O,perspective
O,and
O,new
O,tool
O,to
O,facilitate
O,the
O,discovery
O,of
O,gold
O,and
O,silver
O,deposits
O,within
O,the
O,Hodrusa-Hamre
O,licence
O,area.
O,A
O,drill
O,program
O,has
O,already
O,been
O,designed
O,and
O,permitted
O,to
O,test
O,these
O,anomalies
O,during
O,the
O,2022
O,field
O,and
O,drilling
O,season.
O,Further
O,","
O,an
O,airborne
O,drone
O,magnetic
O,survey
O,has
O,been
O,carried
O,out
O,over
O,the
O,Zemplin
O,prospect
O,within
O,the
O,Cejkov-Zemplin
O,tenement
O,and
O,is
O,currently
O,being
O,drill
O,tested.
O,Assay
O,results
O,will
O,follow
O,with
O,interest.
O,Despite
O,the
O,COVID-19
O,interrupted
O,past
O,year
O,","
O,the
O,outlook
O,is
O,interesting
O,with
O,ongoing
O,drilling
O,on
O,our
O,tenements.
O,To
O,this
O,end
O,","
O,our
O,geologic
O,crew
O,have
O,over
O,sixty
O,drill
O,sites
O,permitted
O,and
O,scheduled
O,to
O,be
O,drilled
O,during
O,the
O,current
O,northern
O,hemisphere
O,summer.
O,Finally
O,","
O,I
O,would
O,like
O,to
O,thank
O,all
O,our
O,staff
O,particularly
O,the
O,locals
O,in
O,Slovakia.
O,This
O,year
O,we
O,lost
O,to
O,ill
O,health
O,a
O,senior
O,member
O,of
O,our
O,team
O,","
O,Martin
O,Kralovic.
O,We
O,will
O,miss
O,his
O,enthusiasm
O,and
O,dedication
O,and
O,I
O,would
O,like
O,to
O,pass
O,the
O,Directors
O,’
O,condolences
O,to
O,his
O,family.
O,Yours
O,sincerely
O,Thomas
O,Mann
O,Chairman
O,1
O,PROSPECH
O,LIMITED
O,and
O,its
O,controlled
O,entities
O,REVIEW
O,OF
O,OPERATIONS
O,The
O,Directors
O,present
O,their
O,report
O,together
O,with
O,the
O,financial
O,report
O,of
O,Prospech
O,Limited
O,(
O,'the
O,Company'
O,)
O,and
O,its
O,controlled
O,entities
O,(
O,‘
O,Prospech
O,’
O,or
O,‘
O,the
O,Group
O,’
O,)
O,","
O,for
O,the
O,year
O,ended
O,31
O,December
O,2021
O,and
O,the
O,auditor's
O,report
O,thereon
O,:
O,Principal
O,Activities
O,and
O,Review
O,of
O,Operations
O,Introduction
O,The
O,Company
O,","
O,through
O,its
O,wholly
O,owned
O,subsidiaries
O,Slovenske
O,Kovy
O,s.r.o.
O,(
O,‘
O,SLOK
O,’
O,)
O,and
O,Prospech
O,Slovakia
O,s.r.o.
O,(
O,‘
O,Prospech
O,SK
O,’
O,)
O,","
O,owns
O,100%
O,of
O,six
O,exploration
O,licences
O,","
O,covering
O,approximately
O,204
O,km2
O,in
O,Slovakia
O,:
O,•
O,the
O,Hodrusa-Hamre
O,exploration
O,licence
O,;
O,•
O,the
O,Nova
O,Bana
O,exploration
O,licence
O,;
O,•
O,the
O,Rudno
O,exploration
O,licence
O,;
O,•
O,the
O,Pukanec
O,exploration
O,licence
O,;
O,•
O,the
O,Jasenie
O,exploration
O,licence
O,;
O,and
O,•
O,the
O,Cejkov-Zemplin
O,exploration
O,licence.
O,Location
O,of
O,the
O,Company
O,’
O,s
O,projects.
O,Hodrusa-Hamre
O,Exploration
O,Licence
O,Located
O,200
O,kilometres
O,east
O,of
O,Vienna
O,","
O,the
O,100%
O,owned
O,Hodrusa-Hamre
O,exploration
O,licence
O,is
O,approximately
O,102
O,km2
O,in
O,area
O,and
O,covers
O,the
O,majority
O,of
O,the
O,Neogene
O,Stiavnica
O,Stratovolcano
O,caldera
O,within
O,the
O,Central
O,Slovakian
O,Volcanic
O,Belt
O,and
O,includes
O,the
O,historic
O,Hodrusa-Hamre/Banska
O,Stiavnica
O,mining
O,district.
O,The
O,exploration
O,licence
O,encompasses
O,some
O,120
O,gold-silver-bearing
O,epithermal
O,veins
O,with
O,the
O,major
O,veins
O,individually
O,reaching
O,a
O,length
O,of
O,up
O,to
O,6
O,kilometres.
O,Drilling
O,During
O,the
O,year
O,","
O,Company
O,drilled
O,the
O,Anton
O,prospect
O,","
O,where
O,past
O,records
O,report
O,mining
O,to
O,a
O,depth
O,of
O,over
O,500
O,metres
O,below
O,surface.
O,This
O,has
O,been
O,the
O,first
O,modern
O,exploration
O,drilling
O,for
O,the
O,extensive
O,Anton
O,target.
O,Drill
O,targets
O,selected
O,by
O,the
O,Company
O,were
O,generally
O,shallower
O,targets
O,where
O,historical
O,records
O,indicated
O,that
O,effective
O,mining
O,was
O,prevented
O,by
O,water
O,ingress
O,due
O,to
O,the
O,poor
O,capability
O,of
O,primitive
O,pumps
O,of
O,the
O,era.
O,2
