tag,sentence
O,Annual
O,Report
O,2021
O,Contents
O,Corporate
O,Directory
O,......................................................................................................................................................................i
O,i
O,Review
O,of
O,Exploration
O,Activities
O,.............................................................................................................................................
O,iii
O,Corporate
O,Governance
O,............................................................................................................................................................
O,xix
O,Annual
O,Financial
O,Statements
O,....................................................................................................................................................
O,3
O,ASX
O,Additional
O,Information
O,...................................................................................................................................................
O,67
O,Rig
O,mobilising
O,to
O,Queen
O,Lapage
O,","
O,Lake
O,Yindarlgooda
O,","
O,March
O,2021
O,i
O,Corporate
O,Directory
O,Directors
O,Registered
O,and
O,Business
O,Address
O,Simon
O,Andrew
O,(
O,Non-Executive
O,Chairman
O,)
O,Suite
O,23
O,","
O,513
O,Hay
O,Street
O,Xavier
O,Braud
O,(
O,Executive
O,Director
O,)
O,Subiaco
O,WA
O,6008
O,Simon
O,Bolster
O,(
O,Non-Executive
O,Director
O,)
O,Telephone
O,:
O,+61
O,8
O,6143
O,6747
O,Website
O,:
O,www.riversgold.com.au
O,Chief
O,Executive
O,Officer
O,Julian
O,Ford
O,Auditors
O,HLB
O,Mann
O,Judd
O,(
O,WA
O,Partnership
O,)
O,Company
O,Secretary
O,Level
O,4
O,","
O,130
O,Stirling
O,Street
O,Oonagh
O,Malone
O,Perth
O,","
O,Western
O,Australia
O,","
O,6000
O,Securities
O,Exchange
O,Share
O,Registry
O,Australian
O,Securities
O,Exchange
O,(
O,ASX
O,)
O,Automic
O,Registry
O,Services
O,Code
O,:
O,RGL
O,126
O,Phillip
O,Street
O,Home
O,office
O,:
O,Perth
O,Sydney
O,","
O,New
O,South
O,Wales
O,2000
O,Telephone
O,:
O,1300
O,288
O,664
O,Country
O,of
O,Incorporation
O,and
O,Domicile
O,Australia
O,ii
O,Review
O,of
O,Exploration
O,Activities
O,Kurnalpi
O,Project
O,–
O,Western
O,Australia
O,Project
O,Overview
O,The
O,Kurnalpi
O,Project
O,is
O,located
O,50km
O,east
O,of
O,Kalgoorlie
O,in
O,the
O,Eastern
O,Goldfields
O,of
O,Western
O,Australia
O,and
O,the
O,combined
O,tenure
O,represents
O,one
O,of
O,the
O,largest
O,single
O,landholdings
O,in
O,the
O,region
O,with
O,over
O,1
O,","
O,150km2
O,under
O,exploration
O,by
O,Riversgold
O,Ltd
O,(
O,Riversgold
O,","
O,the
O,Company
O,)
O,.
O,Riversgold
O,’
O,s
O,tenement
O,package
O,is
O,surrounded
O,by
O,gold
O,producers
O,such
O,as
O,Northern
O,Star
O,Limited
O,directly
O,along
O,strike
O,to
O,the
O,north
O,and
O,Silver
O,Lake
O,Resources
O,directly
O,along
O,strike
O,to
O,the
O,south.
O,Containing
O,the
O,Queen
O,Lapage
O,","
O,Cutler
O,","
O,Farr-Jones
O,","
O,Paradise
O,Patch
O,","
O,Far
O,East
O,and
O,Jaws
O,prospects
O,","
O,the
O,tenement
O,package
O,is
O,100%
O,underlain
O,by
O,Archean
O,Greenstones
O,from
O,the
O,Norseman
O,to
O,Wiluna
O,Greenstone
O,belt
O,","
O,one
O,of
O,the
O,largest
O,gold-producing
O,belts
O,in
O,the
O,world.
O,Since
O,June
O,2020
O,","
O,the
O,Company
O,has
O,been
O,generating
O,multiple
O,new
O,targets
O,within
O,the
O,Kurnalpi
O,Project
O,with
O,the
O,help
O,of
O,Quarterback
O,Geological
O,Services
O,(
O,Quarterback
O,)
O,","
O,a
O,group
O,of
O,highly
O,successful
O,gold
O,explorers
O,","
O,remunerated
O,on
O,an
O,innovative
O,“
O,equity
O,for
O,success
O,”
O,basis.
O,Target
O,Identification
O,and
O,Initial
O,Soil
O,Sampling
O,Program
O,In
O,July
O,2020
O,","
O,Quarterback
O,undertook
O,a
O,program
O,of
O,reprocessing
O,and
O,reinterpretation
O,of
O,all
O,the
O,airborne
O,magnetic
O,data
O,publicly
O,available
O,for
O,the
O,Kurnalpi
O,area.
O,This
O,reinterpretation
O,work
O,lead
O,to
O,the
O,identification
O,of
O,more
O,than
O,40
O,magnetic
O,targets
O,in
O,the
O,Kurnalpi
O,Project.
O,Following
O,up
O,on
O,the
O,magnetics
O,reinterpretation
O,","
O,remote
O,sensing
O,regolith
O,terrain
O,interpretation
O,was
O,finalised
O,over
O,the
O,whole
O,Kurnalpi
O,Project
O,with
O,a
O,focus
O,on
O,the
O,40
O,newly
O,interpreted
O,magnetic
O,targets.
O,This
O,regolith
O,terrain
O,interpretation
O,exercise
O,deemed
O,17
O,of
O,the
O,40
O,targets
O,amenable
O,to
O,surface
O,sampling
O,as
O,a
O,first
O,pass
O,exploration
O,tool.
O,Commencing
O,in
O,August
O,2020
O,","
O,Riversgold
O,mobilised
O,a
O,team
O,of
O,samplers
O,to
O,the
O,Kurnalpi
O,Project
O,and
O,collected
O,4
O,","
O,280
O,soil
O,samples
O,across
O,the
O,17
O,targets
O,over
O,a
O,6
O,week
O,period.
O,The
O,survey
O,covered
O,15
O,separate
O,grids
O,taking
O,in
O,17
O,geophysical
O,targets
O,with
O,samples
O,collected
O,every
O,40m
O,on
O,lines
O,spaced
O,between
O,200m
O,and
O,400m
O,apart.
O,The
O,lines
O,were
O,designed
O,to
O,cut
O,the
O,inferred
O,geological
O,trends
O,perpendicularly
O,and
O,were
O,positioned
O,so
O,that
O,they
O,covered
O,the
O,most
O,suitable
O,regolith
O,terrain
O,setting
O,over
O,the
O,geophysical
O,target
O,","
O,where
O,bedrock
O,is
O,interpreted
O,to
O,be.
O,The
O,15
O,grids
O,covered
O,both
O,existing
O,and
O,new
O,prospects
O,in
O,order
O,to
O,provide
O,a
O,calibration
O,and
O,check
O,of
O,prior
O,work
O,","
O,expand
O,the
O,footprint
O,of
O,the
O,current
O,prospects
O,and
O,identify
O,new
O,exploration
O,targets
O,within
O,the
O,large
O,tenement
O,package.
O,All
O,samples
O,were
O,submitted
O,to
O,Bureau
O,Veritas
O,in
O,Perth
O,for
O,low
O,level
O,gold
O,by
O,BLEG
O,analysis.
O,After
O,experiencing
O,long
O,delays
O,due
O,both
O,the
O,effects
O,of
O,COVID-19
O,and
O,the
O,increased
O,exploration
O,activity
O,occurring
O,across
O,Western
O,Australia
O,","
O,the
O,Company
O,was
O,pleased
O,to
O,announce
O,the
O,results
O,in
O,January
O,2021
O,with
O,significant
O,results
O,being
O,:
O,•
O,Additional
O,450m
O,x
O,150m
O,+50ppb
O,Au
O,surface
O,anomaly
O,along
O,strike
O,from
O,Cutler
O,;
O,iii
O,•
O,New
O,1600m
O,x
O,500m
O,+50ppb
O,Au
O,surface
O,anomaly
O,west
O,of
O,Farr
O,Jones
O,open
O,to
O,north
O,","
O,south
O,and
O,west
O,;
O,•
O,New
O,800m
O,x
O,200m
O,+50ppb
O,Au
O,soil
O,anomaly
O,underlain
O,by
O,a
O,strong
O,magnetic
O,anomaly
O,on
O,the
O,southern
O,edge
O,of
O,Lake
O,Yindarlgooda
O,(
O,Target
O,LGE06
O,)
O,;
O,and
O,•
O,Two
O,strong
O,+50ppb
O,Au
O,parallel
O,trend
O,at
O,the
O,Paradise
O,Patch
O,prospect
O,with
O,two
O,“
O,end
O,of
O,line
O,”
O,+50ppb
O,Au
O,samples
O,leaving
O,the
O,anomaly
O,open
O,to
O,the
O,north
O,","
O,south
O,and
O,east.
O,Figure
O,1
O,:
O,Soils
O,sampling
O,grids
O,location
O,across
O,the
O,+1
O,","
O,150km2
O,Kurnalpi
O,Project
O,iv
O,Farr
O,Jones
O,Extension
O,The
O,soil
O,sampling
O,program
O,confirmed
O,and
O,extended
O,the
O,known
O,Farr
O,Jones
O,anomaly.
O,Extension
O,of
O,the
O,sampling
O,grid
O,to
O,the
O,west
O,in
O,an
O,area
O,of
O,interpreted
O,and
O,observed
O,residual
O,soil
O,returned
O,a
O,strong
O,(
O,+50ppb
O,Au
O,)
O,anomaly
O,continuous
O,over
O,three
O,lines
O,and
O,open
O,to
O,the
O,north
O,","
O,south
O,and
O,west.
O,Follow
O,up
O,infill
O,sampling
O,will
O,help
O,delineate
O,the
O,extent
O,of
O,this
O,1
O,","
O,600m
O,x
O,500m
O,anomalous
O,zone.
O,Historical
O,drilling
O,at
O,Farr
O,Jones
O,returned
O,intervals
O,such
O,as
O,:
B-E,•
B-D,3m
B-E,at
B-P,17.8g/t
B-M,Au
B-E,from
B-D,182m
B-H,(
I-H,FJRC0001
I-H,)
B-E,•
B-D,4m
B-E,at
B-P,6.26g/t
B-M,Au
B-E,from
B-D,119m
B-E,and
B-D,2m
B-E,at
B-P,7.49g/t
B-M,Au
B-E,from
B-D,130m
B-H,(
I-H,FJRC0002
I-H,)
B-E,•
B-D,12m
B-E,at
B-P,1.90g/t
B-M,Au
B-E,from
B-D,36m
B-H,(
I-H,FJAC0021
I-H,)
O,Those
O,intercepts
O,come
O,from
O,drillholes
O,in
O,an
O,area
O,where
O,soils
O,sampling
O,returned
