tag,sentence
O,Tel
O,:
O,+61
O,8
O,6382
O,4600
O,Level
O,9
O,","
O,Mia
O,Yellagonga
O,Tower
O,2
O,Fax
O,:
O,+61
O,8
O,6382
O,4601
O,5
O,Spring
O,Street
O,www.bdo.com.au
O,Perth
O,","
O,WA
O,6000
O,PO
O,Box
O,700
O,West
O,Perth
O,WA
O,6872
O,Australia
O,DECLARATION
O,OF
O,INDEPENDENCE
O,BY
O,JARRAD
O,PRUE
O,TO
O,THE
O,DIRECTORS
O,OF
O,TIETTO
O,MINERALS
O,LIMITED
O,As
O,lead
O,auditor
O,for
O,the
O,review
O,of
O,Tietto
O,Minerals
O,Limited
O,for
O,the
O,half-year
O,ended
O,31
O,December
O,2021
O,","
O,I
O,declare
O,that
O,","
O,to
O,the
O,best
O,of
O,my
O,knowledge
O,and
O,belief
O,","
O,there
O,have
O,been
O,:
O,1.
O,No
O,contraventions
O,of
O,the
O,auditor
O,independence
O,requirements
O,of
O,the
O,Corporations
O,Act
O,2001
O,in
O,relation
O,to
O,the
O,review
O,;
O,and
O,2.
O,No
O,contraventions
O,of
O,any
O,applicable
O,code
O,of
O,professional
O,conduct
O,in
O,relation
O,to
O,the
O,review.
O,This
O,declaration
O,is
O,in
O,respect
O,of
O,Tietto
O,Minerals
O,Limited
O,and
O,the
O,entities
O,it
O,controlled
O,during
O,the
O,period.
O,Jarrad
O,Prue
O,Director
O,BDO
O,Audit
O,(
O,WA
O,)
O,Pty
O,Ltd
O,Perth
O,","
O,16
O,March
O,2022
O,1
O,BDO
O,Audit
O,(
O,WA
O,)
O,Pty
O,Ltd
O,ABN
O,79
O,112
O,284
O,787
O,is
O,a
O,member
O,of
O,a
O,national
O,association
O,of
O,independent
O,entities
O,which
O,are
O,all
O,members
O,of
O,BDO
O,Australia
O,Ltd
O,ABN
O,77
O,050
O,110
O,275
O,","
O,an
O,Australian
O,company
O,limited
O,by
O,guarantee.
O,BDO
O,Audit
O,(
O,WA
O,)
O,Pty
O,Ltd
O,and
O,BDO
O,Australia
O,Ltd
O,are
O,members
O,of
O,BDO
O,International
O,Ltd
O,","
O,a
O,UK
O,company
O,limited
O,by
O,guarantee
O,","
O,and
O,form
O,part
O,of
O,the
O,international
O,BDO
O,network
O,of
O,independent
O,member
O,firms.
O,Liability
O,limited
O,by
O,a
O,scheme
O,approved
O,under
O,Professional
O,Standards
O,Legislation.
O,25Tel
O,:
O,+61
O,8
O,6382
O,4600
O,Level
O,9
O,","
O,Mia
O,Yellagonga
O,Tower
O,2
O,Fax
O,:
O,+61
O,8
O,6382
O,4601
O,5
O,Spring
O,Street
O,www.bdo.com.au
O,Perth
O,","
O,WA
O,6000
O,PO
O,Box
O,700
O,West
O,Perth
O,WA
O,6872
O,Australia
O,To
O,the
O,members
O,of
O,Tietto
O,Minerals
O,Limited
O,Report
O,on
O,the
O,Half-Year
O,Financial
O,Report
O,Conclusion
O,We
O,have
O,reviewed
O,the
O,half-year
O,financial
O,report
O,of
O,Tietto
O,Minerals
O,Limited
O,(
O,the
O,Company
O,)
O,and
O,its
O,subsidiaries
O,(
O,the
O,Group
O,)
O,","
O,which
O,comprises
O,the
O,consolidated
O,statement
O,of
O,financial
O,position
O,as
O,at
O,31
O,December
O,2021
O,","
O,the
O,consolidated
O,statement
O,of
O,profit
O,or
O,loss
O,and
O,other
O,comprehensive
O,income
O,","
O,the
O,consolidated
O,statement
O,of
O,changes
O,in
O,equity
O,and
O,the
O,consolidated
O,statement
O,of
O,cash
O,flows
O,for
O,the
O,half-
O,year
O,ended
O,on
O,that
O,date
O,","
O,a
O,summary
O,of
O,significant
O,accounting
O,policies
O,and
O,other
O,explanatory
O,Based
O,on
O,our
O,review
O,","
O,which
O,is
O,not
O,an
O,audit
O,","
O,we
O,have
O,not
O,become
O,aware
O,of
O,any
O,matter
O,that
O,makes
O,us
O,believe
O,that
O,the
O,accompanying
O,half-year
O,financial
O,report
O,of
O,the
O,Group
O,does
O,not
O,comply
O,with
O,the
O,Corporations
O,Act
O,2001
O,including
O,:
O,(
O,i
O,)
O,as
O,at
O,31
O,December
O,2021
O,and
O,of
O,its
O,financial
O,performance
O,for
O,the
O,half-year
O,ended
O,on
O,that
O,date
O,;
O,and
O,(
O,ii
O,)
O,Complying
O,with
O,Accounting
O,Standard
O,AASB
O,134
O,Interim
O,Financial
O,Reporting
O,and
O,the
O,Corporations
O,Regulations
O,2001.
O,Basis
O,for
O,conclusion
O,We
O,conducted
O,our
O,review
O,in
O,accordance
O,with
O,ASRE
O,2410
O,Review
O,of
O,a
O,Financial
O,Report
O,Performed
O,by
O,the
O,Independent
O,Auditor
O,of
O,the
O,Entity.
O,Our
O,responsibilities
O,are
O,further
O,described
O,in
O,the
O,Responsibilities
O,for
O,the
O,Review
O,of
O,the
O,Financial
O,Report
O,section
O,of
O,our
O,report.
O,We
O,are
O,independent
O,of
O,the
O,Company
O,in
O,accordance
O,with
O,the
O,auditor
O,independence
O,requirements
O,of
O,the
O,Corporations
O,Act
O,2001
O,Code
O,of
O,Ethics
O,for
O,Professional
O,Accountants
O,(
O,including
O,Independence
O,Standards
O,)
O,(
O,the
O,Code
O,)
O,that
O,are
O,relevant
O,to
O,the
O,audit
O,of
O,the
O,annual
O,financial
O,report
O,in
O,Australia.
O,We
O,have
O,also
O,fulfilled
O,our
O,other
O,ethical
O,responsibilities
O,in
O,accordance
O,with
O,the
O,Code.
O,We
O,confirm
O,that
O,the
O,independence
O,declaration
O,required
O,by
O,the
O,Corporations
O,Act
O,2001
O,which
O,has
O,been
O,given
O,to
O,the
O,directors
O,of
O,the
O,Company
O,","
O,would
O,be
O,the
O,same
O,terms
O,if
O,given
O,to
O,the
O,directors
O,as
O,at
O,the
O,time
O,Material
O,uncertainty
O,relating
O,to
O,going
O,concern
O,We
O,draw
O,attention
O,to
