tag,sentence
O,Vision
O,for
O,the
O,future
O,V
O,a
O,n
O,g
O,o
O,M
O,in
O,in
O,g
O,L
O,im
O,it
O,e
O,d
O,2
O,0
O,2
O,1
O,A
O,n
O,n
O,u
O,a
O,l
O,R
O,e
O,p
O,o
O,r
O,t
O,2021
O,ANNUAL
O,REPORT
O,Vango
O,Mining
O,Limited
O,ASX
O,:
O,VAN
O,Vango
O,Mining
O,Limited
O,Annual
O,Report
O,2021
O,Corporate
O,Directory
O,Directors
O,Auditor
O,Bruce
O,McInnes
O,RSM
O,Australia
O,Partners
O,Chairman
O,","
O,Executive
O,Level
O,13
O,","
O,60
O,Castlereagh
O,Street
O,Sydney
O,NSW
O,2000
O,Shengqiang
O,(
O,Sean
O,)
O,Zhou
O,Deputy
O,Chair
O,","
O,Non-Executive
O,Registered
O,Office
O,Zhenzhu
O,(
O,Carol
O,)
O,Zhang
O,Aurora
O,Place
O,Non-Executive
O,Director
O,Building
O,1
O,","
O,Level
O,29
O,88
O,Phillip
O,Street
O,Yan
O,Chao
O,(
O,Hunter
O,)
O,Guo
O,Sydney
O,NSW
O,2000
O,Non-Executive
O,Director
O,ASX
O,Code
O,VAN
O,Craig
O,Wallace
O,Non-Executive
O,Director
O,www.vangomining.com
O,Company
O,Secretary
O,ABN
O,68
O,108
O,737
O,711
O,Ian
O,Morgan
O,Share
O,Registry
O,Boardroom
O,Limited
O,Grosvenor
O,Place
O,Level
O,12
O,","
O,225
O,George
O,Street
O,Sydney
O,NSW
O,2000
O,T
O,:
O,1300
O,737
O,760
O,(
O,in
O,Australia
O,)
O,W
O,:
O,boardroomlimited.com.au
O,Contents
O,1
O,Chairman
O,’
O,s
O,Address
O,2
O,Company
O,Strategy
O,3
O,2021
O,Snapshot
O,4
O,Review
O,of
O,Operations
O,17
O,Directors
O,’
O,Report
O,29
O,Auditor
O,’
O,s
O,Independence
O,Declaration
O,30
O,Operating
O,and
O,Financial
O,Review
O,36
O,Corporate
O,Governance
O,53
O,Consolidated
O,Statement
O,of
O,Profit
O,or
O,Loss
O,and
O,Other
O,Comprehensive
O,Income
O,54
O,Consolidated
O,Statement
O,of
O,Financial
O,Position
O,55
O,Consolidated
O,Statement
O,of
O,Changes
O,in
O,Equity
O,56
O,Consolidated
O,Statement
O,of
O,Cash
O,Flows
O,57
O,Notes
O,to
O,the
O,Consolidated
O,Financial
O,Statements
O,90
O,Directors
O,’
O,Declaration
O,91
O,Independent
O,Auditor
O,’
O,s
O,Report
O,95
O,Shareholder
O,and
O,Investor
O,Information
O,Vango
O,Mining
O,Limited
O,Annual
O,Report
O,2021
O,1
O,Chairman
O,’
O,s
O,Address
O,Dear
O,Shareholders
O,Following
O,the
O,delivery
O,in
O,May
O,2020
O,of
O,our
O,upgraded
O,mineral
O,resource
O,to
O,1m
O,oz1
O,","
O,the
O,company
O,raised
O,approximately
O,$15
O,million
O,and
O,commenced
O,a
O,drilling
O,program
O,to
O,further
O,build
O,on
O,that
O,resource
O,base
O,to
O,reach
O,“
O,critical
O,mass
O,”
O,both
O,in
O,overall
O,mineable
O,gold
O,inventory
O,","
O,and
O,mineable
O,tonnage
O,to
O,increase
O,the
O,life
O,of
O,mine
O,in
O,order
O,to
O,complete
O,our
O,mining
O,proposal.
O,The
O,initial
O,drilling
O,program
O,began
O,in
O,September
O,2020
O,and
O,resulted
O,in
O,the
O,final
O,results
O,being
O,received
O,in
O,January
O,2021.
O,I
O,encourage
O,you
O,to
O,read
O,the
O,Review
O,of
O,Operations
O,section
O,of
O,this
O,report
O,for
O,further
O,detail.
O,The
O,results
O,of
O,this
O,drilling
O,program
O,permitted
O,planning
O,to
O,commence
O,for
O,the
O,2021
O,drilling
O,program
O,which
O,was
O,to
O,focus
O,on
O,delineating
O,additional
O,open
O,pit
O,material
O,as
O,well
O,as
O,defining
O,which
O,of
O,the
O,eleven
O,priority
O,pits
O,would
O,be
O,the
O,potential
O,contender
O,for
O,the
O,first
O,of
O,the
O,pits
O,to
O,be
O,mined.
O,On
O,behalf
O,of
O,the
O,The
O,Company
O,completed
O,a
O,small
O,capital
O,raising
O,in
O,June
O,of
O,this
O,year
O,Board
O,","
O,it
O,gives
O,me
O,raising
O,$6m
O,in
O,order
O,to
O,assist
O,in
O,the
O,funding
O,of
O,the
O,current
O,drill
O,great
O,pleasure
O,to
O,program.
O,The
O,first-round
O,of
O,2021
O,drilling
O,has
O,been
O,completed
O,at
O,all
O,eleven
O,pits
O,selected
O,","
O,and
O,while
O,there
O,are
O,positive
O,signs
O,including
O,the
O,present
O,Vango
O,intersection
O,of
O,multiple
O,zones
O,of
O,veining
O,an
O,alteration
O,associated
O,with
O,mineralisation
O,in
O,all
O,of
O,those
O,pits2
O,","
O,we
O,are
O,still
O,awaiting
O,all
O,assay
O,Mining
O,’
O,s
O,Annual
O,results
O,to
O,come
O,forth
O,at
O,the
O,time
O,of
O,writing.
O,Report
O,for
O,the
O,On
O,the
O,corporate
O,front
O,","
O,the
O,Company
O,has
O,considered
O,a
O,range
O,of
O,commercial
O,opportunities
O,with
O,other
O,companies
O,including
O,2021
O,financial
O,year.
O,merger
O,and
O,acquisition
O,options
O,","
O,but
O,we
O,have
O,not
O,yet
O,found
O,a
O,suitable
O,opportunity
O,that
O,would
O,materially
O,benefit
O,the
O,Company
O,’
O,s
O,shareholders.
O,Your
O,board
O,is
O,especially
O,cognisant
O,of
O,the
O,quality
O,of
O,Vango
O,’
O,s
O,tenement
O,holding
O,and
O,will
O,continue
O,to
O,pursue
O,opportunities
O,that
O,protect
O,and
O,enhance
O,that
O,value.
O,I
O,was
O,pleased
O,to
O,welcome
O,The
O,Honourable
O,Mr
O,Craig
O,Wallace
O,to
O,the
O,board
O,on
O,11
O,January
O,2021.
O,Mr
O,Wallace
O,has
O,added
O,strength
O,to
O,our
O,board
O,both
O,from
O,his
O,experience
O,within
O,the
O,mining
O,sector
O,and
O,as
O,a
O,negotiator
O,within
O,and
O,outside
O,of
O,politics.
O,In
O,closing
O,","
O,I
O,would
O,like
O,to
O,acknowledge
O,the
O,commitment
O,and
O,dedication
O,of
O,our
O,staff
O,and
O,contractors
O,","
O,without
O,whom
O,this
O,company
O,would
O,not
O,be
O,in
O,the
O,enviable
O,position
O,we
O,find
O,ourselves
O,today.
O,Finally
O,","
O,I
O,wish
O,to
O,thank
O,you
O,","
O,our
O,shareholders
O,both
O,large
O,and
O,small
O,","
O,for
O,your
O,continued
O,support
O,of
O,our
O,company.
O,Bruce
O,McInnes
O,Chairman
O,1
O,ASX
O,Announcement
O,","
O,20
O,May
O,2020
O,2
O,ASX
O,Announcement
O,","
O,2
O,September
O,20212
O,Vango
O,Mining
O,Limited
O,Annual
O,Report
O,2021
O,Company
O,Strategy
O,Vango
O,’
O,s
O,vision
O,is
O,to
O,build
O,a
O,sustainable
O,","
O,mid-tier
O,gold
O,production
O,company.
O,Vango
O,is
O,progressing
O,a
O,deliberate
O,strategy
O,of
O,growing
O,its
O,high-
O,Grow
O,our
O,grade
O,gold
O,endowment
O,to
O,support
O,its
O,ambitions
O,of
O,becoming
O,Resource
O,a
O,significant
O,high-grade
O,Western
O,Australian
O,gold
O,miner.
O,Our
O,exploration
O,programme
O,is
O,designed
O,to
O,expand
O,our
O,current
O,1-million-
O,ounce
O,resource
O,","
O,much
O,of
O,which
O,has
O,never
O,been
O,drill
O,tested
O,below
O,200
O,metres.
O,Current
O,drilling
O,is
O,specifically
O,designed
O,to
O,deliver
O,a
O,resource
O,increase
O,(
O,Indicated
O,and
O,Inferred
O,)
O,to
O,the
O,existing
O,Marymia
O,resource
O,base
O,and
O,to
O,enhance
O,the
O,understanding
O,of
O,the
O,mineralised
O,zones
O,within
O,the
O,initial
O,eleven
O,targeted
O,open
O,pits
O,for
O,the
O,benefit
O,of
O,Vango
O,’
O,s
O,mine
O,planning.
O,Deliver
O,In
O,the
O,near
O,term
O,","
O,drilling
O,campaigns
O,will
O,be
O,designed
O,to
O,deliver
O,Critical
O,Mass
O,‘
O,critical
O,mass
O,’
O,to
O,increase
O,the
O,mine
O,life
O,of
O,a
O,proposed
O,future
O,mining
O,operation
O,from
O,Marymia
O,’
O,s
O,resource
O,base.
O,They
O,will
O,specifically
O,target
O,increases
O,in
O,total
O,ounces
O,and
O,tonnes
O,to
O,ensure
O,that
O,mill
O,capacity
O,and
O,Project
O,life
O,of
O,mine
O,are
O,maximised.
O,This
O,allows
O,assessment
O,of
O,appropriate
O,financing
O,levels
O,for
O,the
O,Company
O,’
O,s
O,proposed
O,stand-alone
O,mining
O,operation.
O,The
O,Plutonic
O,gold
O,mine
O,has
O,produced
O,in
O,excess
O,of
O,5.5moz
O,of
O,gold
O,and
O,sits
O,along
O,strike
O,","
O,immediately
O,to
O,the
O,southwest
O,of
O,the
O,Marymia
O,Project
O,in
O,a
O,geological
O,sequence
O,known
O,as
O,the
O,Mine
O,Mafic.
O,This
O,same
O,geological
O,sequence
O,extends
O,across
O,Marymia
O,and
O,most
O,of
O,it
O,has
O,never
O,been
O,drill
O,tested
O,to
O,depth.
O,Become
O,a
O,High-Grade
O,Success
O,of
O,the
O,Company
O,’
O,s
O,targeted
O,exploration
O,strategy
O,has
O,the
O,potential
O,to
O,deliver
O,a
O,material
O,change
O,to
O,the
O,scale
O,of
O,Vango
O,’
O,s
O,high-
O,Gold
O,Miner
O,grade
O,resource
O,base
O,and
O,its
O,planned
O,gold
O,mining
O,operations.
O,General
O,landscape
O,July
O,2021
O,Vango
O,Mining
O,Limited
O,Annual
O,Report
O,2021
O,3
O,2021
O,Snapshot
O,Ongoing
O,Mineral
O,Safety
O,Exploration
O,Resource
O,Success
O,Total
O,manhours
O,18
O,","
O,728
O,metre
O,Global
O,Mineral
O,worked
O,Resource
O,of
O,one
O,drill
O,program
O,23
O,","
O,622
O,million
O,ounces
O,of
O,successfully
O,gold
O,at
O,a
O,grade
O,of
O,completed
O,","
O,consisting
O,of
O,both
O,3.0g/t1
O,Zero
O,lost
O,time
O,reverse
O,circulation
O,injuries
O,in
O,the
O,year
O,and
O,diamond
O,core
O,drilling
O,Significant
O,drill
O,Total
O,reportable
O,program
O,underway
O,","
O,injury
O,frequency
O,targeting
O,extensions
O,Further
O,priority
O,rate
O,of
O,to
O,mineralisation
O,regional
O,targets
O,0
O,below
O,11
O,pits
O,identified
O,including
O,at
O,least
O,15
O,","
O,000m
O,of
O,RC
O,drilling
O,Dominant
O,land
O,Strong
O,Balance
O,Commercial
O,position
O,Sheet
O,Opportunity
O,317
O,km2
O,of
O,mining
O,Completed
O,Stand-alone
O,leases
O,","
O,77
O,km2
O,$6
O,million
O,processing
O,options
O,exploration
O,developed
O,tenements
O,equity
O,capital
O,raising
O,Multiple
O,live
O,80%
O,Debt
O,free
O,commercial
O,balance
O,sheet
O,opportunities
O,under
O,of
O,the
O,Plutonic-
O,consideration
O,Marymia
O,belt
O,1.
O,V
O,ango
O,confirms
O,all
O,material
O,assumptions
O,and
O,technical
O,parameters
O,underpinning
O,the
O,resource
O,estimate
O,continue
O,to
O,apply
O,and
O,have
O,not
O,materially
O,changed
O,as
O,per
O,Listing
O,Rule
O,5.23.24
O,Vango
O,Mining
O,Limited
O,Annual
O,Report
O,2021
O,Review
O,of
O,Operations
O,Operations
O,have
O,focussed
O,on
O,the
O,extension
O,of
O,resources
O,at
O,the
O,Marymia
O,project.
O,Initial
O,drilling
O,concentrated
O,on
O,extensions
O,to
O,the
O,JORC
O,resources
O,announced
O,in
O,2020
O,at
O,Trident
O,","
O,PHB1
O,","
O,K1
O,and
O,Marwest/Mars.
O,A
O,significant
O,drill
O,program
O,is
O,now
O,underway
O,targeting
O,extensions
O,to
O,mineralisation
O,below
O,11
O,other
O,pits
O,within
O,the
O,project
O,area
O,","
O,with
O,a
O,program
O,of
O,at
O,least
O,15
O,","
O,000m
O,of
O,RC
O,drilling.
O,These
O,pits
O,are
O,outside
O,of
O,the
O,current
O,resource
O,areas
O,for
O,the
O,project.
O,Ongoing
O,evaluation
O,of
O,the
O,Ned
O,’
O,s
O,Creek
O,joint
O,venture
O,was
O,also
O,completed.
O,Preparations
O,of
O,drill
O,pads
O,&
O,sumps
O,July
O,2021
O,Vango
O,Mining
O,Limited
O,Annual
O,Report
O,2021
O,5
O,Review
O,of
O,Operations
O,Highlights
O,include
O,:
O,−
O,Targeted
O,20
O,","
O,000m
O,Resource
O,expansion
O,drilling
O,program
O,at
O,Marymia
O,Gold
O,Project
O,in
O,the
O,Mid-West
O,region
O,of
O,Western
O,Australia
O,completed
O,during
O,2020.
O,−
O,Bonanza
O,Gold
O,zone
O,intersected
O,from
O,Trident
O,Extension
O,drilling
O,:
B-E,•
B-D,9m
B-E,@
B-P,26.2
I-P,g/t
B-M,Au
B-E,from
B-D,137m
B-E,incl.
B-D,2m
B-E,@
B-P,102.2
I-P,g/t
B-M,au
B-E,from
B-D,139m
B-E,in
B-H,VTRRC0066
O,−
O,Assay
O,results
O,also
O,received
O,from
O,drilling
O,at
O,:
O,•
O,Trident
O,Extension2
B-E,•
B-D,7m
B-E,@
B-P,8.7
I-P,g/t
B-M,Au
B-E,from
B-D,110m
