tag,sentence
O,ASX
O,Announcement
O,14
O,September
O,2021
O,Drill
O,Results
O,Confirm
O,Potential
O,Open-Pit
O,Model
O,at
O,Marymia
O,y
O,New
O,gold
O,structures
O,confirmed
O,at
O,depth
O,at
O,Skyhawk
O,target
O,l
O,Highlights
O,n
O,
O,First
O,results
O,received
O,from
O,current
O,drill
O,program
O,targeting
O,11
O,priority
O,open
O,pits
O,at
O,o
O,Marymia
O,–
O,from
O,the
O,first
O,six
O,holes
O,at
O,Skyhawk
O,open
O,pit
O,target
O,
O,Drilling
O,confirmed
O,presence
O,of
O,a
O,new
O,gold
O,structure
O,at
O,depth
O,and
O,validated
O,Vango
O,’
O,s
O,potential
O,large-scale
O,open-pit
O,model
O,-
O,gold
O,mineralisation
O,intersected
O,in
O,all
O,holes
O,e
O,
O,Highlight
O,results
O,include
O,:
O,o
B-D,1m
B-E,@
B-P,12.1
I-P,g/t
B-M,Au
B-E,from
B-D,55m
B-E,in
B-H,VSKRC0003
O,s
B-E,o
B-D,1m
B-E,@
B-P,3.1
I-P,g/t
B-M,Au
B-E,from
B-D,48m
B-E,in
B-H,VSKRC0003
B-E,o
B-D,6m
B-E,@
B-P,1.9
I-P,g/t
B-M,Au
B-E,from
B-D,21m
B-E,in
B-H,VSKRC0004
B-E,incl
B-D,1m
B-E,@
B-P,6.4
I-P,g/t
B-M,Au
O,u
B-E,o
B-D,3m
B-E,@
B-P,2.5
I-P,g/t
B-M,Au
B-E,from
B-D,59m
B-E,in
B-H,VSKRC0006
B-E,incl
B-D,1m
B-E,@
B-P,6.1
I-P,g/t
B-M,Au
O,
O,Results
O,are
O,from
O,extension
O,zones
O,to
O,previous
O,drilling
O,at
O,Skyhawk
O,","
O,which
O,remain
O,open
O,at
O,depth
O,and
O,along
O,strike
O,","
O,including
O,:
O,l
O,a
B-E,o
B-D,16m
B-E,@
B-P,3.5
I-P,g/t
B-M,Au
B-E,from
B-D,132m
B-E,in
B-H,DSHRC0014
B-E,o
B-D,12m
B-E,@
B-P,2.5
I-P,g/t
B-M,Au
B-E,from
B-D,65m
B-E,in
B-H,DSHRC0004
O,n
B-E,o
B-D,18m
B-E,@
B-P,2.0
I-P,g/t
B-M,Au
B-E,from
B-D,76m
B-E,in
B-H,DSHRC0023
O,
O,Current
O,drilling
O,is
O,designed
O,to
O,test
O,for
O,extensions
O,to
O,this
O,system
O,and
O,repeat
O,o
O,structures
O,–
O,and
O,to
O,add
O,to
O,the
O,substantial
O,existing
O,Marymia
O,resource
O,
O,53
O,holes
O,completed
O,to
O,date
O,at
O,10
O,of
O,the
O,11
O,targeted
O,open
O,pits
O,–
O,further
O,results
O,to
O,s
O,be
O,released
O,as
O,they
O,become
O,available
O,r
O,Vango
O,Mining
O,Limited
O,(
O,Vango
O,","
O,ASX
O,:
O,VAN
O,)
O,is
O,pleased
O,to
O,announce
O,high-grade
O,gold
O,intersections
O,from
O,first
O,assay
O,results
O,from
O,its
O,ongoing
O,2021
O,drilling
O,campaign
O,at
O,the
O,Company
O,’
O,s
O,flagship
O,Marymia
O,Gold
O,e
O,Project
O,(
O,Marymia
O,","
O,the
O,Project
O,)
O,in
O,the
O,Mid-West
O,region
O,of
O,Western
O,Australia.
O,p
O,The
O,assay
O,results
O,are
O,from
O,the
O,first
O,six
O,completed
O,holes
O,(
B-H,VSKRC0001
O,to
B-H,VSKRC0006
O,inclusive
O,)
O,at
O,the
O,Skyhawk
O,prospect
O,","
O,targeting
O,extensions
O,to
O,higher
O,zones
O,of
O,mineralisation
O,intersected
O,in
O,previous
O,drilling
O,","
O,and
O,new
O,mineralised
O,zones
O,at
O,depth.
O,r
O,Vango
O,’
O,s
O,2021
O,drilling
O,campaign
O,is
O,targeting
O,11
O,priority
O,open
O,pit
O,targets
O,(
O,Figure
O,2
O,)
O,not
O,currently
O,part
O,of
O,o
O,the
O,Marymia
O,JORC
O,2012
O,resource
O,-
O,1.02Moz
O,@
O,3.0
O,g/t
O,Au^
O,-
O,and
O,is
O,designed
O,to
O,add
O,significant
O,near-
O,surface
O,resources
O,amenable
O,to
O,open
O,pit
O,mining
O,","
O,as
O,part
O,of
O,any
O,future
O,mining
O,operation
O,at
O,the
O,Project.
O,F
O,Drilling
O,at
O,Skyhawk
O,has
O,confirmed
O,the
O,presence
O,of
O,a
O,new
O,gold
O,structure
O,at
O,depth
O,and
O,validated
O,Vango
O,’
O,s
O,potential
O,large-scale
O,open-pit
O,model
O,(
O,Figures
O,1
O,and
O,3
O,)
O,","
O,which
O,is
O,designed
O,to
O,deliver
O,‘
O,critical
O,mass
O,’
O,to
O,Marymia
O,’
O,s
O,resource
